DATAYEARS,CO_DIST,DISTRICT_NAME,COUNTY_NAME,CLASS_CODE,DISTRICT_TYPE_CODE,AGENCYID,COUNTY,DISTRICT,SCHOOL,SCHOOL_NAME,GRADE_CODE,F_WH,M_WH,F_BL,M_BL,F_HI,M_HI,F_AS,M_AS,F_AM,M_AM,F_PI,M_PI,F_MU,M_MU,Female_total,Male_total,Total
20122013,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-003,01,0018,003,ALCOTT ELEMENTARY SCHOOL      ,01,21,19,0,0,5,10,0,1,0,1,1,0,0,1,27,32,59
20122013,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-003,01,0018,003,ALCOTT ELEMENTARY SCHOOL      ,02,19,13,0,0,7,6,1,0,0,0,0,1,1,0,28,20,48
20122013,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-003,01,0018,003,ALCOTT ELEMENTARY SCHOOL      ,03,17,14,0,0,4,2,0,1,0,0,0,0,0,1,21,18,39
20122013,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-003,01,0018,003,ALCOTT ELEMENTARY SCHOOL      ,04,22,23,2,0,8,10,1,0,0,0,0,0,2,0,35,33,68
20122013,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-003,01,0018,003,ALCOTT ELEMENTARY SCHOOL      ,05,13,13,0,1,10,3,0,0,0,0,0,0,0,0,23,17,40
20122013,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-003,01,0018,003,ALCOTT ELEMENTARY SCHOOL      ,06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20122013,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-003,01,0018,003,ALCOTT ELEMENTARY SCHOOL      ,07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20122013,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-003,01,0018,003,ALCOTT ELEMENTARY SCHOOL      ,08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20122013,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-003,01,0018,003,ALCOTT ELEMENTARY SCHOOL      ,09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20122013,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-003,01,0018,003,ALCOTT ELEMENTARY SCHOOL      ,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20122013,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-003,01,0018,003,ALCOTT ELEMENTARY SCHOOL      ,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20122013,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-003,01,0018,003,ALCOTT ELEMENTARY SCHOOL      ,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20122013,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-003,01,0018,003,ALCOTT ELEMENTARY SCHOOL      ,K ,13,17,0,0,4,5,2,0,0,0,0,0,0,0,19,22,41
20122013,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-003,01,0018,003,ALCOTT ELEMENTARY SCHOOL      ,PK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20122013,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-004,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL   ,01,16,25,0,1,3,3,0,1,0,0,0,0,0,0,19,30,49
20122013,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-004,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL   ,02,14,22,0,0,2,5,1,1,2,0,0,0,0,1,19,29,48
20122013,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-004,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL   ,03,27,34,0,2,2,2,0,1,0,0,0,0,1,1,30,40,70
20122013,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-004,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL   ,04,19,27,0,0,2,4,0,1,0,0,0,0,0,0,21,32,53
20122013,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-004,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL   ,05,22,24,2,1,6,3,0,0,1,0,0,0,1,1,32,29,61
20122013,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-004,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL   ,06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20122013,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-004,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL   ,07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
