DATAYEARS,CO_DIST,DISTRICT_NAME,COUNTY_NAME,CLASS_CODE,DISTRICT_TYPE_CODE,AGENCYID,COUNTY,DISTRICT,SCHOOL,SCHOOL_NAME,GRADE_CODE,F_WH,M_WH,F_BL,M_BL,F_HI,M_HI,F_AS,M_AS,F_AM,M_AM,F_PI,M_PI,F_MU,M_MU,Female_total,Male_total,Total
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-001,01,0018,001,HASTINGS SENIOR HIGH SCHOOL   ,10,100,97,3,3,19,20,2,2,1,0,0,0,1,1,126,123,249
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-001,01,0018,001,HASTINGS SENIOR HIGH SCHOOL   ,11,87,89,3,3,16,23,1,0,1,0,0,0,2,2,110,117,227
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-001,01,0018,001,HASTINGS SENIOR HIGH SCHOOL   ,12,100,92,3,2,15,16,3,1,1,2,0,0,0,3,122,116,238
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-001,01,0018,001,HASTINGS SENIOR HIGH SCHOOL   ,K ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-001,01,0018,001,HASTINGS SENIOR HIGH SCHOOL   ,PK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-002,01,0018,002,HASTINGS MIDDLE SCHOOL        ,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-002,01,0018,002,HASTINGS MIDDLE SCHOOL        ,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-002,01,0018,002,HASTINGS MIDDLE SCHOOL        ,03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-002,01,0018,002,HASTINGS MIDDLE SCHOOL        ,04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-002,01,0018,002,HASTINGS MIDDLE SCHOOL        ,05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
