DATAYEARS,Co-Dist,DISTNAME,COUNTY_NAME,CLASS_CODE,DISTRICT_TYPE_CODE,AGENCYID,COUNTY,DISTRICT,SCHOOL,SchoolName,GRADE_CODE,FWNH,MWNH,FAPI,MAPI,FH,MH,FAIA,MAIA,FBNH,MBNH,Male,Female,TOTAL
20092010,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-002,01,0018,002,HASTINGS MIDDLE SCHOOL        ,01,0,0,0,0,0,0,0,0,0,0,0,0,0
20092010,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-002,01,0018,002,HASTINGS MIDDLE SCHOOL        ,02,0,0,0,0,0,0,0,0,0,0,0,0,0
20092010,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-002,01,0018,002,HASTINGS MIDDLE SCHOOL        ,03,0,0,0,0,0,0,0,0,0,0,0,0,0
20092010,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-002,01,0018,002,HASTINGS MIDDLE SCHOOL        ,04,0,0,0,0,0,0,0,0,0,0,0,0,0
20092010,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-002,01,0018,002,HASTINGS MIDDLE SCHOOL        ,05,0,0,0,0,0,0,0,0,0,0,0,0,0
20092010,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-002,01,0018,002,HASTINGS MIDDLE SCHOOL        ,06,86,122,2,4,17,32,0,0,3,3,161,108,269
20092010,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-002,01,0018,002,HASTINGS MIDDLE SCHOOL        ,07,68,96,1,2,24,22,3,0,6,2,122,102,224
20092010,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-002,01,0018,002,HASTINGS MIDDLE SCHOOL        ,08,75,96,4,5,16,21,2,0,0,2,124,97,221
20092010,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-002,01,0018,002,HASTINGS MIDDLE SCHOOL        ,09,0,0,0,0,0,0,0,0,0,0,0,0,0
20092010,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-002,01,0018,002,HASTINGS MIDDLE SCHOOL        ,10,0,0,0,0,0,0,0,0,0,0,0,0,0
20092010,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-002,01,0018,002,HASTINGS MIDDLE SCHOOL        ,11,0,0,0,0,0,0,0,0,0,0,0,0,0
20092010,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-002,01,0018,002,HASTINGS MIDDLE SCHOOL        ,12,0,0,0,0,0,0,0,0,0,0,0,0,0
