CoDist	DistName	CoDistSch	SchName	Grade	FWNH	MWNH	FAPI	MAPI	FH	MH	FAIA	MAIA	FBNH	MBNH	Female	Male	Total
00-0008	EDUCATIONAL SERVICE UNIT 08	00-0008-002	CENTRAL LEARNING CENTER	11	2	0	0	0	0	0	0	0	0	0	2	0	2

00-0008	EDUCATIONAL SERVICE UNIT 08	00-0008-002	CENTRAL LEARNING CENTER	12	3	4	0	0	0	0	0	0	0	0	3	4	7

00-0008	EDUCATIONAL SERVICE UNIT 08	00-0008-003	WESTERN LEARNING CENTER	PK	2	6	0	0	1	0	0	0	0	0	3	6	9

00-0008	EDUCATIONAL SERVICE UNIT 08	00-0008-003	WESTERN LEARNING CENTER	K	0	1	0	0	0	0	0	0	0	0	0	1	1

00-0008	EDUCATIONAL SERVICE UNIT 08	00-0008-003	WESTERN LEARNING CENTER	01	0	1	0	0	0	0	0	0	0	0	0	1	1

00-0008	EDUCATIONAL SERVICE UNIT 08	00-0008-003	WESTERN LEARNING CENTER	04	0	2	0	0	0	0	0	0	0	0	0	2	2

00-0008	EDUCATIONAL SERVICE UNIT 08	00-0008-003	WESTERN LEARNING CENTER	05	1	1	0	0	0	0	0	0	0	0	1	1	2

00-0008	EDUCATIONAL SERVICE UNIT 08	00-0008-003	WESTERN LEARNING CENTER	06	0	1	0	0	0	0	0	0	0	0	0	1	1

00-0008	EDUCATIONAL SERVICE UNIT 08	00-0008-003	WESTERN LEARNING CENTER	07	1	0	0	0	0	0	0	0	1	0	2	0	2

00-0008	EDUCATIONAL SERVICE UNIT 08	00-0008-003	WESTERN LEARNING CENTER	09	2	0	0	0	0	0	0	0	0	0	2	0	2

00-0008	EDUCATIONAL SERVICE UNIT 08	00-0008-003	WESTERN LEARNING CENTER	10	1	0	0	0	0	0	0	0	0	0	1	0	1

00-0008	EDUCATIONAL SERVICE UNIT 08	00-0008-003	WESTERN LEARNING CENTER	11	1	1	0	0	0	0	0	0	0	0	1	1	2

00-0008	EDUCATIONAL SERVICE UNIT 08	00-0008-003	WESTERN LEARNING CENTER	12	3	3	0	0	0	0	0	0	0	0	3	3	6

00-0009	EDUCATIONAL SERVICE UNIT 09	00-0009-004	RED CLOUD PRESCHOOL CNTR BASE	PK	11	14	0	0	0	0	0	0	0	0	11	14	25

00-0009	EDUCATIONAL SERVICE UNIT 09	00-0009-005	SUPERIOR PRESCHOOL CNTR BASE	PK	12	23	0	0	1	2	0	0	0	0	13	25	38

00-0009	EDUCATIONAL SERVICE UNIT 09	00-0009-008	LIFE SKILLS PROGRAM	K	1	1	0	0	0	0	0	0	0	0	1	1	2

00-0009	EDUCATIONAL SERVICE UNIT 09	00-0009-008	LIFE SKILLS PROGRAM	01	0	1	0	0	0	1	0	0	0	0	0	2	2

00-0009	EDUCATIONAL SERVICE UNIT 09	00-0009-008	LIFE SKILLS PROGRAM	02	0	3	0	0	0	0	0	0	1	0	1	3	4

00-0009	EDUCATIONAL SERVICE UNIT 09	00-0009-008	LIFE SKILLS PROGRAM	03	0	1	0	0	0	0	0	0	0	0	0	1	1

00-0009	EDUCATIONAL SERVICE UNIT 09	00-0009-008	LIFE SKILLS PROGRAM	04	1	3	0	0	0	0	0	0	0	1	1	4	5

00-0009	EDUCATIONAL SERVICE UNIT 09	00-0009-008	LIFE SKILLS PROGRAM	05	2	0	0	0	0	0	0	0	0	0	2	0	2

00-0009	EDUCATIONAL SERVICE UNIT 09	00-0009-008	LIFE SKILLS PROGRAM	06	1	1	0	0	0	0	0	0	0	0	1	1	2

00-0009	EDUCATIONAL SERVICE UNIT 09	00-0009-008	LIFE SKILLS PROGRAM	07	1	4	0	0	0	0	0	0	0	0	1	4	5

00-0009	EDUCATIONAL SERVICE UNIT 09	00-0009-008	LIFE SKILLS PROGRAM	08	2	2	0	0	0	0	0	1	0	0	2	3	5

00-0009	EDUCATIONAL SERVICE UNIT 09	00-0009-008	LIFE SKILLS PROGRAM	09	3	1	0	0	0	0	0	0	0	0	3	1	4

00-0009	EDUCATIONAL SERVICE UNIT 09	00-0009-008	LIFE SKILLS PROGRAM	10	1	1	0	0	0	0	0	0	1	0	2	1	3

00-0009	EDUCATIONAL SERVICE UNIT 09	00-0009-008	LIFE SKILLS PROGRAM	11	1	0	0	0	0	0	0	0	0	0	1	0	1

00-0009	EDUCATIONAL SERVICE UNIT 09	00-0009-008	LIFE SKILLS PROGRAM	12	3	6	0	0	0	0	0	0	0	0	3	6	9

00-0009	EDUCATIONAL SERVICE UNIT 09	00-0009-013	BLUE HILL PRESCHOOL CNTR BASE	PK	5	13	0	0	1	0	0	0	0	0	6	13	19

00-0009	EDUCATIONAL SERVICE UNIT 09	00-0009-014	ESU #9 PRESCHOOL HOME BASE PRG	PK	21	14	0	0	0	1	0	0	0	0	21	15	36

00-0009	EDUCATIONAL SERVICE UNIT 09	00-0009-015	ADAMS CO PRESCHOOL CNTR BASE	PK	14	19	0	0	0	0	0	0	1	0	15	19	34

00-0009	EDUCATIONAL SERVICE UNIT 09	00-0009-016	CLAY CO LEARN CTR/PRESCHOOL	PK	10	19	0	0	0	0	0	0	0	0	10	19	29

00-0009	EDUCATIONAL SERVICE UNIT 09	00-0009-022	LAWRENCE PRESCHOOL CNTR BASE	PK	12	14	0	0	0	0	0	0	0	0	12	14	26

00-0011	EDUCATIONAL SERVICE UNIT 11	00-0011-001	SCH FOR THE TR MENTALLY HDCP	06	0	1	0	0	0	0	0	0	0	0	0	1	1

00-0011	EDUCATIONAL SERVICE UNIT 11	00-0011-001	SCH FOR THE TR MENTALLY HDCP	07	0	1	0	0	0	0	0	0	0	0	0	1	1

00-0011	EDUCATIONAL SERVICE UNIT 11	00-0011-001	SCH FOR THE TR MENTALLY HDCP	08	1	0	0	0	0	0	0	0	0	0	1	0	1

00-0011	EDUCATIONAL SERVICE UNIT 11	00-0011-001	SCH FOR THE TR MENTALLY HDCP	09	0	1	0	0	0	0	0	0	0	0	0	1	1

00-0011	EDUCATIONAL SERVICE UNIT 11	00-0011-001	SCH FOR THE TR MENTALLY HDCP	11	0	2	0	0	0	0	0	0	0	0	0	2	2

00-0011	EDUCATIONAL SERVICE UNIT 11	00-0011-001	SCH FOR THE TR MENTALLY HDCP	12	1	0	0	0	0	0	0	0	0	0	1	0	1

00-0011	EDUCATIONAL SERVICE UNIT 11	00-0011-002	PRE SCHOOL HDCP CHILD PROGRAM	PK	23	48	0	0	1	8	0	0	0	0	24	56	80

00-0011	EDUCATIONAL SERVICE UNIT 11	00-0011-003	PHOENIX CENTER WEST	09	1	0	0	0	0	0	0	0	0	0	1	0	1

