Type	School Year	County	District	School	Agency Name	Average Teacher Salary	Average Years of Teaching Experience	Masters Count	Percentage of Teachers with Master's Degrees	Teacher Count	Hispanic	American Indian / Alaskan Native	Asian	Black or African American	Native Hawaiian or Other Pacific Islander	White	Two or More Races
SC	20082009	32	0095	004	ELEMENTARY SCHOOL AT EUSTIS	39870	20.17	*	*	*	*	*	*	*	*	*	*
SC	20092010	32	0095	004	ELEMENTARY SCHOOL AT EUSTIS	40243	16.43	*	*	*	*	*	*	*	*	*	*
SC	20102011	32	0095	004	ELEMENTARY SCHOOL AT EUSTIS	42390	17.93	*	*	10.33	*	*	*	*	*	10	*
DI	20002001	32	0125	000	MEDICINE VALLEY PUBLIC SCHOOLS	31419	14.79	*	*	22.35	*	*	*	*	*	*	*
DI	20052006	32	0125	000	MEDICINE VALLEY PUBLIC SCHOOLS	33209	11.13	*	*	23.50	*	*	*	*	*	*	*
DI	20072008	32	0125	000	MEDICINE VALLEY PUBLIC SCHOOLS	37351	13.04	*	*	23.50	*	*	*	*	*	*	*
DI	20082009	32	0125	000	MEDICINE VALLEY PUBLIC SCHOOLS	39158	14.09	12.00	0.5217	22.50	*	*	*	*	*	*	*
DI	20092010	32	0125	000	MEDICINE VALLEY PUBLIC SCHOOLS	39971	14.70	12.00	0.5217	22.50	*	*	*	*	*	*	*
DI	20102011	32	0125	000	MEDICINE VALLEY PUBLIC SCHOOLS	42123	17.17	15.00	0.6250	22.56	*	*	*	*	*	23	*
SC	20002001	32	0125	001	MEDICINE VALLEY JR-SR HIGH SCH	32887	18.93	*	*	12.66	*	*	*	*	*	*	*
SC	20052006	32	0125	001	MEDICINE VALLEY JR-SR HIGH SCH	31500	11.36	*	*	12.61	*	*	*	*	*	*	*
SC	20072008	32	0125	001	MEDICINE VALLEY JR-SR HIGH SCH	36047	13.21	*	*	12.61	*	*	*	*	*	*	*
SC	20082009	32	0125	001	MEDICINE VALLEY JR-SR HIGH SCH	38083	13.93	*	*	12.27	*	*	*	*	*	*	*
SC	20092010	32	0125	001	MEDICINE VALLEY JR-SR HIGH SCH	38114	13.80	*	*	12.27	*	*	*	*	*	*	*
SC	20102011	32	0125	001	MEDICINE VALLEY JR-SR HIGH SCH	40544	17.06	*	*	12.33	*	*	*	*	*	12	*
SC	20002001	32	0125	003	MEDICINE VALLEY ELEMENTARY	30296	8.91	*	*	*	*	*	*	*	*	*	*
SC	20052006	32	0125	003	MEDICINE VALLEY ELEMENTARY	34455	9.92	*	*	10.89	*	*	*	*	*	*	*
SC	20072008	32	0125	003	MEDICINE VALLEY ELEMENTARY	38385	11.92	*	*	10.89	*	*	*	*	*	*	*
SC	20082009	32	0125	003	MEDICINE VALLEY ELEMENTARY	39840	12.92	*	*	10.23	*	*	*	*	*	*	*
SC	20092010	32	0125	003	MEDICINE VALLEY ELEMENTARY	41600	14.58	*	*	10.23	*	*	*	*	*	*	*
SC	20102011	32	0125	003	MEDICINE VALLEY ELEMENTARY	44040	17.17	*	*	10.23	*	*	*	*	*	10	*
DI	20002001	33	0018	000	ARAPAHOE PUBLIC SCHOOLS	31276	16.34	10.00	0.3125	29.25	*	*	*	*	*	*	*
DI	20052006	33	0018	000	ARAPAHOE PUBLIC SCHOOLS	39302	19.61	15.00	0.4839	25.58	*	*	*	*	*	*	*
DI	20072008	33	0018	000	ARAPAHOE PUBLIC SCHOOLS	58404	19.68	12.00	0.4286	22.64	*	*	*	*	*	*	*
DI	20082009	33	0018	000	ARAPAHOE PUBLIC SCHOOLS	43077	20.14	11.00	0.3793	25.87	*	*	*	*	*	*	*
DI	20092010	33	0018	000	ARAPAHOE PUBLIC SCHOOLS	45460	20.46	10.00	0.3571	26.00	*	*	*	*	*	*	*
DI	20102011	33	0018	000	ARAPAHOE PUBLIC SCHOOLS	46385	21.93	10.00	0.3571	26.13	*	*	*	*	*	26	*
SC	20002001	33	0018	001	ARAPAHOE HIGH SCHOOL	30670	16.68	*	*	14.55	*	*	*	*	*	*	*
SC	20052006	33	0018	001	ARAPAHOE HIGH SCHOOL	38984	18.50	12.00	0.5455	13.60	*	*	*	*	*	*	*
SC	20072008	33	0018	001	ARAPAHOE HIGH SCHOOL	65978	19.22	*	*	12.58	*	*	*	*	*	*	*
SC	20082009	33	0018	001	ARAPAHOE HIGH SCHOOL	42873	19.29	*	*	15.18	*	*	*	*	*	*	*
SC	20092010	33	0018	001	ARAPAHOE HIGH SCHOOL	43769	18.48	*	*	15.07	*	*	*	*	*	*	*
SC	20102011	33	0018	001	ARAPAHOE HIGH SCHOOL	44647	20.10	*	*	15.20	*	*	*	*	*	15	*
SC	20002001	33	0018	002	ARAPAHOE ELEMENTARY SCHOOL	31480	16.50	*	*	14.20	*	*	*	*	*	*	*
SC	20052006	33	0018	002	ARAPAHOE ELEMENTARY SCHOOL	38831	20.50	*	*	11.98	*	*	*	*	*	*	*
SC	20072008	33	0018	002	ARAPAHOE ELEMENTARY SCHOOL	44100	20.92	*	*	10.06	*	*	*	*	*	*	*
SC	20082009	33	0018	002	ARAPAHOE ELEMENTARY SCHOOL	44103	21.20	*	*	10.69	*	*	*	*	*	*	*
SC	20092010	33	0018	002	ARAPAHOE ELEMENTARY SCHOOL	46885	20.93	*	*	10.93	*	*	*	*	*	*	*
SC	20102011	33	0018	002	ARAPAHOE ELEMENTARY SCHOOL	46983	22.79	*	*	10.93	*	*	*	*	*	11	*
DI	20002001	33	0021	000	CAMBRIDGE PUBLIC SCHOOLS	35452	18.28	*	*	27.48	*	*	*	*	*	*	*
DI	20052006	33	0021	000	CAMBRIDGE PUBLIC SCHOOLS	35550	16.00	*	*	25.64	*	*	*	*	*	*	*
DI	20072008	33	0021	000	CAMBRIDGE PUBLIC SCHOOLS	37276	14.74	*	*	26.50	*	*	*	*	*	*	*
DI	20082009	33	0021	000	CAMBRIDGE PUBLIC SCHOOLS	37777	12.72	*	*	28.50	*	*	*	*	*	*	*
DI	20092010	33	0021	000	CAMBRIDGE PUBLIC SCHOOLS	39077	13.23	*	*	30.50	*	*	*	*	*	*	*
DI	20102011	33	0021	000	CAMBRIDGE PUBLIC SCHOOLS	42193	13.88	*	*	30.40	*	*	*	*	*	30	*
SC	20002001	33	0021	001	CAMBRIDGE HIGH SCHOOL	37883	19.35	*	*	*	*	*	*	*	*	*	*
SC	20052006	33	0021	001	CAMBRIDGE HIGH SCHOOL	36761	16.38	*	*	*	*	*	*	*	*	*	*
SC	20072008	33	0021	001	CAMBRIDGE HIGH SCHOOL	37152	14.76	*	*	10.36	*	*	*	*	*	*	*
SC	20082009	33	0021	001	CAMBRIDGE HIGH SCHOOL	38376	14.11	*	*	14.50	*	*	*	*	*	*	*
SC	20092010	33	0021	001	CAMBRIDGE HIGH SCHOOL	39894	14.78	*	*	15.01	*	*	*	*	*	*	*
SC	20102011	33	0021	001	CAMBRIDGE HIGH SCHOOL	42794	15.00	*	*	14.52	*	*	*	*	*	15	*
SC	20002001	33	0021	002	CAMBRIDGE ELEMENTARY SCHOOL	35431	19.04	*	*	17.82	*	*	*	*	*	*	*
SC	20052006	33	0021	002	CAMBRIDGE ELEMENTARY SCHOOL	35017	15.23	*	*	16.76	*	*	*	*	*	*	*
SC	20072008	33	0021	002	CAMBRIDGE ELEMENTARY SCHOOL	36407	14.17	*	*	16.14	*	*	*	*	*	*	*
SC	20082009	33	0021	002	CAMBRIDGE ELEMENTARY SCHOOL	36827	11.29	*	*	14.00	*	*	*	*	*	*	*
SC	20092010	33	0021	002	CAMBRIDGE ELEMENTARY SCHOOL	37591	11.10	*	*	15.49	*	*	*	*	*	*	*
SC	20102011	33	0021	002	CAMBRIDGE ELEMENTARY SCHOOL	40731	12.80	*	*	15.88	*	*	*	*	*	16	*
DI	20002001	33	0540	000	SOUTHERN VALLEY SCHOOLS	33954	18.15	*	*	51.12	*	*	*	*	*	*	*
DI	20052006	33	0540	000	SOUTHERN VALLEY SCHOOLS	38443	19.06	*	*	46.26	*	*	*	*	*	*	*
DI	20072008	33	0540	000	SOUTHERN VALLEY SCHOOLS	39866	19.00	*	*	48.75	*	*	*	*	*	*	*
DI	20082009	33	0540	000	SOUTHERN VALLEY SCHOOLS	41819	18.89	*	*	44.19	*	*	*	*	*	*	*
DI	20092010	33	0540	000	SOUTHERN VALLEY SCHOOLS	41831	18.04	*	*	44.52	*	*	*	*	*	*	*
DI	20102011	33	0540	000	SOUTHERN VALLEY SCHOOLS	43806	16.80	10.00	0.2174	43.53	*	*	*	*	*	44	*
SC	20002001	33	0540	001	SOUTHERN VALLEY JR/SR HIGH	34901	18.71	*	*	23.12	*	*	*	*	*	*	*
SC	20052006	33	0540	001	SOUTHERN VALLEY JR/SR HIGH	37678	17.38	*	*	21.76	*	*	*	*	*	*	*
SC	20072008	33	0540	001	SOUTHERN VALLEY JR/SR HIGH	40124	18.08	*	*	21.36	*	*	*	*	*	*	*
SC	20082009	33	0540	001	SOUTHERN VALLEY JR/SR HIGH	41193	17.36	*	*	22.39	*	*	*	*	*	*	*
SC	20092010	33	0540	001	SOUTHERN VALLEY JR/SR HIGH	41652	16.60	*	*	22.92	*	*	*	*	*	*	*
SC	20102011	33	0540	001	SOUTHERN VALLEY JR/SR HIGH	44002	14.15	*	*	23.23	*	*	*	*	*	23	*
SC	20082009	33	0540	007	SO VALLEY ELEMENTARY SCHOOL	42524	21.43	*	*	21.80	*	*	*	*	*	*	*
SC	20092010	33	0540	007	SO VALLEY ELEMENTARY SCHOOL	42123	20.04	*	*	21.60	*	*	*	*	*	*	*
SC	20102011	33	0540	007	SO VALLEY ELEMENTARY SCHOOL	43294	19.76	*	*	20.30	*	*	*	*	*	20	*
DI	20002001	34	0001	000	SOUTHERN SCHOOL DIST 1	32294	16.43	11.00	0.2340	44.96	*	*	*	*	*	*	*
DI	20052006	34	0001	000	SOUTHERN SCHOOL DIST 1	34903	18.23	10.00	0.2273	42.25	*	*	*	*	*	*	*
DI	20072008	34	0001	000	SOUTHERN SCHOOL DIST 1	36149	19.56	12.00	0.2667	42.35	*	*	*	*	*	*	*
DI	20082009	34	0001	000	SOUTHERN SCHOOL DIST 1	41661	21.14	15.00	0.3488	40.85	*	*	*	*	*	*	*
DI	20092010	34	0001	000	SOUTHERN SCHOOL DIST 1	43312	21.33	14.00	0.3333	40.60	*	*	*	*	*	*	*
DI	20102011	34	0001	000	SOUTHERN SCHOOL DIST 1	42324	18.35	10.00	0.2703	36.10	*	*	*	*	*	36	*
SC	20002001	34	0001	001	SOUTHERN HIGH SCHOOL	33451	16.60	*	*	21.85	*	*	*	*	*	*	*
SC	20052006	34	0001	001	SOUTHERN HIGH SCHOOL	36070	21.17	*	*	20.65	*	*	*	*	*	*	*
SC	20072008	34	0001	001	SOUTHERN HIGH SCHOOL	37795	23.58	*	*	20.25	*	*	*	*	*	*	*
SC	20082009	34	0001	001	SOUTHERN HIGH SCHOOL	42489	24.58	*	*	20.75	*	*	*	*	*	*	*
SC	20092010	34	0001	001	SOUTHERN HIGH SCHOOL	44076	25.65	*	*	19.75	*	*	*	*	*	*	*
SC	20102011	34	0001	001	SOUTHERN HIGH SCHOOL	41611	19.95	*	*	16.28	*	*	*	*	*	16	*
SC	20002001	34	0001	002	SOUTHERN ELEMENTARY SCHOOL	31483	16.77	*	*	23.11	*	*	*	*	*	*	*
SC	20052006	34	0001	002	SOUTHERN ELEMENTARY SCHOOL	34349	16.04	*	*	21.60	*	*	*	*	*	*	*
SC	20072008	34	0001	002	SOUTHERN ELEMENTARY SCHOOL	35139	16.25	*	*	22.10	*	*	*	*	*	*	*
SC	20082009	34	0001	002	SOUTHERN ELEMENTARY SCHOOL	41273	18.09	*	*	20.10	*	*	*	*	*	*	*
SC	20092010	34	0001	002	SOUTHERN ELEMENTARY SCHOOL	42999	17.64	*	*	20.85	*	*	*	*	*	*	*
SC	20102011	34	0001	002	SOUTHERN ELEMENTARY SCHOOL	44036	18.38	*	*	19.82	*	*	*	*	*	20	*
DI	20002001	34	0015	000	BEATRICE PUBLIC SCHOOLS	35800	17.55	74.00	0.4966	148.01	*	*	*	*	*	*	*
DI	20052006	34	0015	000	BEATRICE PUBLIC SCHOOLS	44079	19.23	83.00	0.5461	150.42	*	*	*	*	*	*	*
DI	20072008	34	0015	000	BEATRICE PUBLIC SCHOOLS	46612	18.50	88.00	0.5828	152.38	*	*	*	*	*	*	*
DI	20082009	34	0015	000	BEATRICE PUBLIC SCHOOLS	48124	18.19	89.00	0.5855	152.38	*	*	*	*	*	*	*
DI	20092010	34	0015	000	BEATRICE PUBLIC SCHOOLS	49396	18.18	92.00	0.6133	149.88	*	*	*	*	*	*	*
DI	20102011	34	0015	000	BEATRICE PUBLIC SCHOOLS	48531	17.97	90.00	0.6000	150.01	*	*	*	*	*	144	*
SC	20002001	34	0015	001	BEATRICE HIGH SCHOOL	34905	18.10	23.00	0.4792	46.64	*	*	*	*	*	*	*
SC	20052006	34	0015	001	BEATRICE HIGH SCHOOL	43469	19.00	27.00	0.5400	47.68	*	*	*	*	*	*	*
SC	20072008	34	0015	001	BEATRICE HIGH SCHOOL	44197	15.44	27.00	0.5400	48.15	*	*	*	*	*	*	*
SC	20082009	34	0015	001	BEATRICE HIGH SCHOOL	46757	15.90	29.00	0.5800	47.69	*	*	*	*	*	*	*
SC	20092010	34	0015	001	BEATRICE HIGH SCHOOL	48110	15.90	30.00	0.6122	46.69	*	*	*	*	*	*	*
SC	20102011	34	0015	001	BEATRICE HIGH SCHOOL	47253	15.49	30.00	0.6122	46.11	*	*	*	*	*	42	*
SC	20002001	34	0015	002	BEATRICE MIDDLE SCHOOL	35511	16.36	21.00	0.4667	40.91	*	*	*	*	*	*	*
SC	20052006	34	0015	002	BEATRICE MIDDLE SCHOOL	43964	17.90	22.00	0.5238	40.09	*	*	*	*	*	*	*
SC	20072008	34	0015	002	BEATRICE MIDDLE SCHOOL	47689	18.27	28.00	0.6829	39.09	*	*	*	*	*	*	*
SC	20082009	34	0015	002	BEATRICE MIDDLE SCHOOL	48857	18.22	26.00	0.6341	38.96	*	*	*	*	*	*	*
SC	20092010	34	0015	002	BEATRICE MIDDLE SCHOOL	50448	19.22	26.00	0.6341	38.96	*	*	*	*	*	*	*
SC	20102011	34	0015	002	BEATRICE MIDDLE SCHOOL	49354	18.76	26.00	0.6190	39.21	*	*	*	*	*	39	*
SC	20002001	34	0015	003	CEDAR ELEMENTARY SCHOOL	39312	25.07	10.00	0.6667	10.36	*	*	*	*	*	*	*
SC	20052006	34	0015	003	CEDAR ELEMENTARY SCHOOL	46414	26.20	10.00	0.6667	12.52	*	*	*	*	*	*	*
SC	20072008	34	0015	003	CEDAR ELEMENTARY SCHOOL	46308	22.71	*	*	13.66	*	*	*	*	*	*	*
SC	20082009	34	0015	003	CEDAR ELEMENTARY SCHOOL	45733	20.18	*	*	13.66	*	*	*	*	*	*	*
SC	20092010	34	0015	003	CEDAR ELEMENTARY SCHOOL	47672	19.93	*	*	12.16	*	*	*	*	*	*	*
SC	20102011	34	0015	003	CEDAR ELEMENTARY SCHOOL	45955	19.07	*	*	12.16	*	*	*	*	*	12	*
SC	20002001	34	0015	004	LINCOLN ELEMENTARY SCHOOL	37023	18.84	13.00	0.6842	15.52	*	*	*	*	*	*	*
SC	20052006	34	0015	004	LINCOLN ELEMENTARY SCHOOL	43098	17.94	*	*	15.02	*	*	*	*	*	*	*
SC	20072008	34	0015	004	LINCOLN ELEMENTARY SCHOOL	44224	16.00	10.00	0.5000	16.35	*	*	*	*	*	*	*
SC	20082009	34	0015	004	LINCOLN ELEMENTARY SCHOOL	45990	16.55	11.00	0.5500	16.77	*	*	*	*	*	*	*
SC	20092010	34	0015	004	LINCOLN ELEMENTARY SCHOOL	45600	15.11	10.00	0.5263	16.27	*	*	*	*	*	*	*
SC	20102011	34	0015	004	LINCOLN ELEMENTARY SCHOOL	45743	16.11	10.00	0.5263	16.27	*	*	*	*	*	16	*
SC	20002001	34	0015	005	STODDARD ELEMENTARY SCHOOL	38200	19.78	11.00	0.6111	14.54	*	*	*	*	*	*	*
SC	20052006	34	0015	005	STODDARD ELEMENTARY SCHOOL	46588	21.71	11.00	0.6471	15.15	*	*	*	*	*	*	*
SC	20072008	34	0015	005	STODDARD ELEMENTARY SCHOOL	49971	23.32	12.00	0.6316	15.36	*	*	*	*	*	*	*
SC	20082009	34	0015	005	STODDARD ELEMENTARY SCHOOL	51787	24.40	13.00	0.6500	16.03	*	*	*	*	*	*	*
SC	20092010	34	0015	005	STODDARD ELEMENTARY SCHOOL	52922	24.16	12.00	0.6316	15.53	*	*	*	*	*	*	*
SC	20102011	34	0015	005	STODDARD ELEMENTARY SCHOOL	51323	24.05	12.00	0.6000	15.86	*	*	*	*	*	15	*
SC	20002001	34	0015	006	PADDOCK LANE SCHOOL	35481	17.39	*	*	19.04	*	*	*	*	*	*	*
SC	20052006	34	0015	006	PADDOCK LANE SCHOOL	42732	21.23	*	*	19.96	*	*	*	*	*	*	*
SC	20072008	34	0015	006	PADDOCK LANE SCHOOL	46051	23.17	*	*	19.77	*	*	*	*	*	*	*
SC	20082009	34	0015	006	PADDOCK LANE SCHOOL	49118	24.18	*	*	19.27	*	*	*	*	*	*	*
SC	20092010	34	0015	006	PADDOCK LANE SCHOOL	50001	22.91	11.00	0.4783	20.27	*	*	*	*	*	*	*
SC	20102011	34	0015	006	PADDOCK LANE SCHOOL	49404	23.54	12.00	0.5000	20.40	*	*	*	*	*	20	*
DI	20002001	34	0034	000	FREEMAN PUBLIC SCHOOLS	32379	17.23	10.00	0.3226	28.58	*	*	*	*	*	*	*
DI	20052006	34	0034	000	FREEMAN PUBLIC SCHOOLS	37440	16.64	11.00	0.3333	31.05	*	*	*	*	*	*	*
DI	20072008	34	0034	000	FREEMAN PUBLIC SCHOOLS	39964	15.00	17.00	0.5313	29.63	*	*	*	*	*	*	*
DI	20082009	34	0034	000	FREEMAN PUBLIC SCHOOLS	40611	15.28	17.00	0.5313	30.05	*	*	*	*	*	*	*
DI	20092010	34	0034	000	FREEMAN PUBLIC SCHOOLS	42303	15.30	17.00	0.5152	31.27	*	*	*	*	*	*	*
DI	20102011	34	0034	000	FREEMAN PUBLIC SCHOOLS	43276	15.97	16.00	0.4706	30.94	*	*	*	*	*	31	*
SC	20002001	34	0034	001	FREEMAN HIGH SCHOOL	31689	17.44	*	*	15.15	*	*	*	*	*	*	*
SC	20052006	34	0034	001	FREEMAN HIGH SCHOOL	35778	16.00	*	*	15.42	*	*	*	*	*	*	*
SC	20072008	34	0034	001	FREEMAN HIGH SCHOOL	38238	12.76	11.00	0.6471	13.99	*	*	*	*	*	*	*
SC	20082009	34	0034	001	FREEMAN HIGH SCHOOL	39319	13.69	*	*	14.41	*	*	*	*	*	*	*
SC	20092010	34	0034	001	FREEMAN HIGH SCHOOL	40828	13.65	*	*	14.51	*	*	*	*	*	*	*
SC	20102011	34	0034	001	FREEMAN HIGH SCHOOL	41618	14.59	*	*	14.43	*	*	*	*	*	14	*
SC	20002001	34	0034	002	FREEMAN ELEMENTARY-ADAMS	33153	15.58	*	*	13.43	*	*	*	*	*	*	*
SC	20052006	34	0034	002	FREEMAN ELEMENTARY-ADAMS	39528	18.67	*	*	15.63	*	*	*	*	*	*	*
SC	20072008	34	0034	002	FREEMAN ELEMENTARY-ADAMS	41113	16.71	*	*	15.64	*	*	*	*	*	*	*
SC	20082009	34	0034	002	FREEMAN ELEMENTARY-ADAMS	40807	15.57	10.00	0.4762	15.64	*	*	*	*	*	*	*
SC	20092010	34	0034	002	FREEMAN ELEMENTARY-ADAMS	43520	16.65	10.00	0.5000	16.76	*	*	*	*	*	*	*
SC	20102011	34	0034	002	FREEMAN ELEMENTARY-ADAMS	44561	17.55	10.00	0.5000	16.51	*	*	*	*	*	17	*
DI	20002001	34	0100	000	DILLER-ODELL PUBLIC SCHOOLS	30275	14.74	*	*	28.65	*	*	*	*	*	*	*
DI	20052006	34	0100	000	DILLER-ODELL PUBLIC SCHOOLS	38399	20.15	*	*	24.67	*	*	*	*	*	*	*
DI	20072008	34	0100	000	DILLER-ODELL PUBLIC SCHOOLS	39757	20.56	*	*	24.85	*	*	*	*	*	*	*
DI	20082009	34	0100	000	DILLER-ODELL PUBLIC SCHOOLS	45226	21.56	*	*	23.90	*	*	*	*	*	*	*
DI	20092010	34	0100	000	DILLER-ODELL PUBLIC SCHOOLS	43031	19.04	*	*	25.87	*	*	*	*	*	*	*
DI	20102011	34	0100	000	DILLER-ODELL PUBLIC SCHOOLS	44700	19.85	*	*	25.82	*	*	*	*	*	26	*
SC	20002001	34	0100	001	DILLER-ODELL SECONDARY SCHOOL	30868	15.61	*	*	14.83	*	*	*	*	*	*	*
SC	20052006	34	0100	001	DILLER-ODELL SECONDARY SCHOOL	37848	21.47	*	*	12.79	*	*	*	*	*	*	*
SC	20072008	34	0100	001	DILLER-ODELL SECONDARY SCHOOL	39601	23.00	*	*	13.05	*	*	*	*	*	*	*
SC	20082009	34	0100	001	DILLER-ODELL SECONDARY SCHOOL	47522	24.00	*	*	13.05	*	*	*	*	*	*	*
SC	20092010	34	0100	001	DILLER-ODELL SECONDARY SCHOOL	43375	19.93	*	*	13.07	*	*	*	*	*	*	*
SC	20102011	34	0100	001	DILLER-ODELL SECONDARY SCHOOL	45341	20.60	*	*	13.02	*	*	*	*	*	13	*
SC	20002001	34	0100	002	DILLER-ODELL ELEM SCHOOL	29750	13.88	*	*	13.82	*	*	*	*	*	*	*
SC	20052006	34	0100	002	DILLER-ODELL ELEM SCHOOL	38863	19.57	*	*	11.88	*	*	*	*	*	*	*
SC	20072008	34	0100	002	DILLER-ODELL ELEM SCHOOL	40391	19.57	*	*	11.80	*	*	*	*	*	*	*
SC	20082009	34	0100	002	DILLER-ODELL ELEM SCHOOL	42303	18.45	*	*	10.85	*	*	*	*	*	*	*
SC	20092010	34	0100	002	DILLER-ODELL ELEM SCHOOL	42378	17.93	*	*	12.80	*	*	*	*	*	*	*
SC	20102011	34	0100	002	DILLER-ODELL ELEM SCHOOL	43786	18.93	*	*	12.80	*	*	*	*	*	13	*
DI	20002001	35	0001	000	GARDEN COUNTY SCHOOLS	32536	19.79	*	*	13.33	*	*	*	*	*	*	*
DI	20052006	35	0001	000	GARDEN COUNTY SCHOOLS	38387	17.46	*	*	10.37	*	*	*	*	*	*	*
DI	20072008	35	0001	000	GARDEN COUNTY SCHOOLS	40653	16.04	*	*	24.13	*	*	*	*	*	*	*
DI	20082009	35	0001	000	GARDEN COUNTY SCHOOLS	41757	13.82	*	*	24.76	*	*	*	*	*	*	*
DI	20092010	35	0001	000	GARDEN COUNTY SCHOOLS	42387	13.66	10.00	0.3448	25.25	*	*	*	*	*	*	*
DI	20102011	35	0001	000	GARDEN COUNTY SCHOOLS	47238	14.24	*	*	22.39	*	*	*	*	*	22	*
SC	20002001	35	0001	001	GARDEN COUNTY HIGH SCHOOL	32536	19.83	*	*	13.08	*	*	*	*	*	*	*
SC	20052006	35	0001	001	GARDEN COUNTY HIGH SCHOOL	38387	17.46	*	*	10.37	*	*	*	*	*	*	*
SC	20072008	35	0001	001	GARDEN COUNTY HIGH SCHOOL	38383	12.50	*	*	10.63	*	*	*	*	*	*	*
SC	20082009	35	0001	001	GARDEN COUNTY HIGH SCHOOL	35404	7.73	*	*	10.61	*	*	*	*	*	*	*
SC	20092010	35	0001	001	GARDEN COUNTY HIGH SCHOOL	38395	8.33	*	*	10.95	*	*	*	*	*	*	*
SC	20102011	35	0001	001	GARDEN COUNTY HIGH SCHOOL	44103	10.38	*	*	*	*	*	*	*	*	10	*
SC	20072008	35	0001	002	GARDEN COUNTY ELEMENTARY SCH	42510	20.50	*	*	*	*	*	*	*	*	*	*
SC	20082009	35	0001	002	GARDEN COUNTY ELEMENTARY SCH	45494	17.67	*	*	*	*	*	*	*	*	*	*
SC	20092010	35	0001	002	GARDEN COUNTY ELEMENTARY SCH	47740	20.45	*	*	*	*	*	*	*	*	*	*
SC	20102011	35	0001	002	GARDEN COUNTY ELEMENTARY SCH	49594	16.70	*	*	*	*	*	*	*	*	*	*
SC	20072008	35	0001	003	GARDEN COUNTY JR HIGH SCHOOL	38285	14.10	*	*	*	*	*	*	*	*	*	*
SC	20082009	35	0001	003	GARDEN COUNTY JR HIGH SCHOOL	39285	13.55	*	*	*	*	*	*	*	*	*	*
SC	20092010	35	0001	003	GARDEN COUNTY JR HIGH SCHOOL	42051	12.25	*	*	*	*	*	*	*	*	*	*
SC	20102011	35	0001	003	GARDEN COUNTY JR HIGH SCHOOL	51122	19.00	*	*	*	*	*	*	*	*	*	*
DI	20002001	36	0100	000	BURWELL PUBLIC SCHOOLS	33082	16.60	*	*	17.83	*	*	*	*	*	*	*
DI	20052006	36	0100	000	BURWELL PUBLIC SCHOOLS	37868	20.05	*	*	18.21	*	*	*	*	*	*	*
DI	20072008	36	0100	000	BURWELL PUBLIC SCHOOLS	36306	18.74	*	*	34.00	*	*	*	*	*	*	*
DI	20082009	36	0100	000	BURWELL PUBLIC SCHOOLS	39986	19.74	*	*	33.50	*	*	*	*	*	*	*
DI	20092010	36	0100	000	BURWELL PUBLIC SCHOOLS	40384	19.29	12.00	0.3158	35.87	*	*	*	*	*	*	*
DI	20102011	36	0100	000	BURWELL PUBLIC SCHOOLS	41613	19.86	15.00	0.4054	34.13	*	*	*	*	*	34	*
SC	20002001	36	0100	001	BURWELL JR-SR HIGH SCHOOL	33082	16.42	*	*	16.83	*	*	*	*	*	*	*
SC	20052006	36	0100	001	BURWELL JR-SR HIGH SCHOOL	37868	20.05	*	*	18.21	*	*	*	*	*	*	*
SC	20072008	36	0100	001	BURWELL JR-SR HIGH SCHOOL	39062	18.26	*	*	18.33	*	*	*	*	*	*	*
SC	20082009	36	0100	001	BURWELL JR-SR HIGH SCHOOL	40402	18.85	*	*	18.83	*	*	*	*	*	*	*
SC	20092010	36	0100	001	BURWELL JR-SR HIGH SCHOOL	42547	20.00	*	*	19.70	*	*	*	*	*	*	*
SC	20102011	36	0100	001	BURWELL JR-SR HIGH SCHOOL	43028	20.17	*	*	19.96	*	*	*	*	*	20	*
SC	20072008	36	0100	003	BURWELL ELEMENTARY SCHOOL	31668	21.00	*	*	*	*	*	*	*	*	*	*
SC	20082009	36	0100	003	BURWELL ELEMENTARY SCHOOL	38406	20.00	*	*	12.67	*	*	*	*	*	*	*
SC	20092010	36	0100	003	BURWELL ELEMENTARY SCHOOL	36361	17.44	*	*	13.67	*	*	*	*	*	*	*
SC	20102011	36	0100	003	BURWELL ELEMENTARY SCHOOL	38159	18.80	*	*	13.17	*	*	*	*	*	13	*
SC	20072008	36	0100	004	DISTRICT 70 ELEMENTARY SCHOOL	24543	16.00	*	*	*	*	*	*	*	*	*	*
SC	20082009	36	0100	004	DISTRICT 70 ELEMENTARY SCHOOL	35088	22.00	*	*	*	*	*	*	*	*	*	*
SC	20092010	36	0100	004	DISTRICT 70 ELEMENTARY SCHOOL	38916	23.00	*	*	*	*	*	*	*	*	*	*
SC	20102011	36	0100	004	DISTRICT 70 ELEMENTARY SCHOOL	43700	24.00	*	*	*	*	*	*	*	*	*	*
DI	20002001	37	0030	000	ELWOOD PUBLIC SCHOOLS	33195	19.17	*	*	22.12	*	*	*	*	*	*	*
DI	20052006	37	0030	000	ELWOOD PUBLIC SCHOOLS	34408	17.82	*	*	21.88	*	*	*	*	*	*	*
DI	20072008	37	0030	000	ELWOOD PUBLIC SCHOOLS	39756	19.50	*	*	21.50	*	*	*	*	*	*	*
DI	20082009	37	0030	000	ELWOOD PUBLIC SCHOOLS	41727	20.50	*	*	21.50	*	*	*	*	*	*	*
DI	20092010	37	0030	000	ELWOOD PUBLIC SCHOOLS	44145	22.73	*	*	21.50	*	*	*	*	*	*	*
