Type	School Year	County	District	School	Agency Name	Average Teacher Salary	Average Years of Teaching Experience	Masters Count	Percentage of Teachers with Master's Degrees	Teacher Count	Hispanic	American Indian / Alaskan Native	Asian	Black or African American	Native Hawaiian or Other Pacific Islander	White	Two or More Races
SC	20072008	01	0018	006	LONGFELLOW ELEMENTARY SCHOOL	44461	17.93	13.00	0.4643	25.24	*	*	*	*	*	*	*
SC	20082009	01	0018	006	LONGFELLOW ELEMENTARY SCHOOL	45089	15.57	14.00	0.5000	22.96	*	*	*	*	*	*	*
SC	20092010	01	0018	006	LONGFELLOW ELEMENTARY SCHOOL	45123	13.79	11.00	0.3929	23.75	*	*	*	*	*	*	*
SC	20102011	01	0018	006	LONGFELLOW ELEMENTARY SCHOOL	46195	13.39	14.00	0.5000	24.20	*	*	*	*	*	23	*
SC	20002001	01	0018	007	MORTON ELEMENTARY SCHOOL	34142	17.91	*	*	19.07	*	*	*	*	*	*	*
SC	20052006	01	0018	007	MORTON ELEMENTARY SCHOOL	42883	20.05	11.00	0.5000	18.24	*	*	*	*	*	*	*
SC	20072008	01	0018	007	MORTON ELEMENTARY SCHOOL	45932	18.79	14.00	0.5833	20.21	*	*	*	*	*	*	*
SC	20082009	01	0018	007	MORTON ELEMENTARY SCHOOL	48352	18.46	15.00	0.6250	19.77	*	*	*	*	*	*	*
SC	20092010	01	0018	007	MORTON ELEMENTARY SCHOOL	47592	17.63	11.00	0.4583	20.00	*	*	*	*	*	*	*
SC	20102011	01	0018	007	MORTON ELEMENTARY SCHOOL	51546	18.77	13.00	0.5909	19.15	*	*	*	*	*	18	*
SC	20002001	01	0018	008	RAYMOND A WATSON ELEM SCHOOL	35289	20.16	*	*	*	*	*	*	*	*	*	*
SC	20052006	01	0018	008	RAYMOND A WATSON ELEM SCHOOL	42146	16.72	11.00	0.6111	*	*	*	*	*	*	*	*
SC	20072008	01	0018	008	RAYMOND A WATSON ELEM SCHOOL	44938	17.79	12.00	0.6316	10.48	*	*	*	*	*	*	*
SC	20082009	01	0018	008	RAYMOND A WATSON ELEM SCHOOL	45579	16.26	*	*	11.31	*	*	*	*	*	*	*
SC	20092010	01	0018	008	RAYMOND A WATSON ELEM SCHOOL	47741	18.29	*	*	10.47	*	*	*	*	*	*	*
