Type	School Year	County	District	School	Agency Name	Average Teacher Salary	Average Years of Teaching Experience	Masters Count	Percentage of Teachers with Master's Degrees	Teacher Count	White, Not Hispanic	Black, Not Hispanic	Hispanic	Asian / Pacific Islanders	American Indian / Alaskan Native
DI	20042005	01	0033	000	TRI-VIEW PUBLIC SCHOOL	46078	21.67	*	*	*	*	*	*	*	*
DI	20052006	01	0033	000	TRI-VIEW PUBLIC SCHOOL	43006	22.67	*	*	*	*	*	*	*	*
SC	19951996	01	0033	001	TRI-VIEW PUBLIC SCHOOL	29236	12.67	*	*	*					
SC	20002001	01	0033	001	TRI-VIEW PUBLIC SCHOOL	34784	17.67	*	*	*					
SC	20032004	01	0033	001	TRI-VIEW PUBLIC SCHOOL	46998	20.67	*	*	*	*	*	*	*	*
SC	20042005	01	0033	001	TRI-VIEW PUBLIC SCHOOL	46078	21.67	*	*	*	*	*	*	*	*
SC	20052006	01	0033	001	TRI-VIEW PUBLIC SCHOOL	43006	22.67	*	*	*	*	*	*	*	*
DI	19951996	01	0053	000	AYR PUBLIC SCHOOL	23844	8.00	*	*	*					
DI	20002001	01	0053	000	AYR PUBLIC SCHOOL	28500	13.00	*	*	*					
DI	20032004	01	0053	000	AYR PUBLIC SCHOOL	30534	11.67	*	*	*	*	*	*	*	*
DI	20042005	01	0053	000	AYR PUBLIC SCHOOL	32333	12.67	*	*	*	*	*	*	*	*
DI	20052006	01	0053	000	AYR PUBLIC SCHOOL	33800	13.67	*	*	*	*	*	*	*	*
SC	19951996	01	0053	001	AYR PUBLIC SCHOOL	23844	8.00	*	*	*					
SC	20002001	01	0053	001	AYR PUBLIC SCHOOL	28500	13.00	*	*	*					
SC	20032004	01	0053	001	AYR PUBLIC SCHOOL	30534	11.67	*	*	*	*	*	*	*	*
SC	20042005	01	0053	001	AYR PUBLIC SCHOOL	32333	12.67	*	*	*	*	*	*	*	*
SC	20052006	01	0053	001	AYR PUBLIC SCHOOL	33800	13.67	*	*	*	*	*	*	*	*
DI	19951996	01	0060	000	WALLACE PUBLIC SCHOOL	29053	9.67	*	*	*					
DI	20002001	01	0060	000	WALLACE PUBLIC SCHOOL	31863	12.10	*	*	*					
DI	20032004	01	0060	000	WALLACE PUBLIC SCHOOL	32234	12.58	*	*	*	*	*	*	*	*
DI	20042005	01	0060	000	WALLACE PUBLIC SCHOOL	33506	13.58	*	*	*	*	*	*	*	*
DI	20052006	01	0060	000	WALLACE PUBLIC SCHOOL	34548	13.58	*	*	*	*	*	*	*	*
SC	19951996	01	0060	001	WALLACE PUBLIC SCHOOL	29053	9.67	*	*	*					
SC	20002001	01	0060	001	WALLACE PUBLIC SCHOOL	31863	12.10	*	*	*					
SC	20032004	01	0060	001	WALLACE PUBLIC SCHOOL	32234	12.58	*	*	*	*	*	*	*	*
SC	20042005	01	0060	001	WALLACE PUBLIC SCHOOL	33506	13.58	*	*	*	*	*	*	*	*
SC	20052006	01	0060	001	WALLACE PUBLIC SCHOOL	34548	13.58	*	*	*	*	*	*	*	*
DI	19951996	01	0090	000	ADAMS CENTRAL JR-SR HIGH SCH	34022	18.79	18.79	0.5517	28.50					
DI	20002001	01	0090	000	ADAMS CENTRAL JR-SR HIGH SCH	38028	20.90	20.90	0.5484	30.60					
DI	20032004	01	0090	000	ADAMS CENTRAL JR-SR HIGH SCH	43545	23.31	23.31	0.5938	31.50	32	*	*	*	*
DI	20042005	01	0090	000	ADAMS CENTRAL JR-SR HIGH SCH	45040	23.22	23.22	0.6250	31.50	32	*	*	*	*
DI	20052006	01	0090	000	ADAMS CENTRAL JR-SR HIGH SCH	45640	22.00	22.00	0.5938	31.50	32	*	*	*	*
SC	19951996	01	0090	001	ADAMS CENTRAL JR-SR HIGH SCH	34022	18.79	18.79	0.5517	28.50					
SC	20002001	01	0090	001	ADAMS CENTRAL JR-SR HIGH SCH	38028	20.90	20.90	0.5484	30.60					
SC	20032004	01	0090	001	ADAMS CENTRAL JR-SR HIGH SCH	43545	23.31	23.31	0.5938	31.50	32	*	*	*	*
SC	20042005	01	0090	001	ADAMS CENTRAL JR-SR HIGH SCH	45040	23.22	23.22	0.6250	31.50	32	*	*	*	*
SC	20052006	01	0090	001	ADAMS CENTRAL JR-SR HIGH SCH	45640	22.00	22.00	0.5938	31.50	32	*	*	*	*
DI	19951996	01	0123	000	SILVER LAKE PUBLIC SCHOOLS	28653	15.04	*	*	20.20					
DI	20002001	01	0123	000	SILVER LAKE PUBLIC SCHOOLS	32062	16.92	*	*	21.34					
DI	20032004	01	0123	000	SILVER LAKE PUBLIC SCHOOLS	32958	15.08	*	*	24.17	24	*	*	*	*
DI	20042005	01	0123	000	SILVER LAKE PUBLIC SCHOOLS	34132	15.46	*	*	24.24	24	*	*	*	*
DI	20052006	01	0123	000	SILVER LAKE PUBLIC SCHOOLS	34999	16.11	*	*	25.17	25	*	*	*	*
SC	19951996	01	0123	001	SILVER LAKE HIGH SCHOOL	28460	14.71	*	*	11.87					
SC	20002001	01	0123	001	SILVER LAKE HIGH SCHOOL	32044	17.21	*	*	11.84					
SC	20032004	01	0123	001	SILVER LAKE HIGH SCHOOL	33694	16.53	*	*	12.92	13	*	*	*	*
SC	20042005	01	0123	001	SILVER LAKE HIGH SCHOOL	34625	17.31	*	*	12.59	13	*	*	*	*
SC	20052006	01	0123	001	SILVER LAKE HIGH SCHOOL	35784	17.35	*	*	12.92	13	*	*	*	*
SC	19951996	01	0123	002	SILVER LAKE ELEM SCH-BLADEN	28892	15.50	*	*	*					
SC	20002001	01	0123	002	SILVER LAKE ELEM SCH-BLADEN	32337	17.45	*	*	*					
SC	20032004	01	0123	002	SILVER LAKE ELEM SCH-BLADEN	32489	14.00	*	*	11.25	11	*	*	*	*
SC	20042005	01	0123	002	SILVER LAKE ELEM SCH-BLADEN	33960	14.00	*	*	11.65	12	*	*	*	*
SC	20052006	01	0123	002	SILVER LAKE ELEM SCH-BLADEN	34386	14.53	*	*	12.25	12	*	*	*	*
DI	19951996	02	0004	000	VALLEY VIEW PUBLIC SCHOOL	17638	5.00	*	*	*					
DI	20002001	02	0004	000	VALLEY VIEW PUBLIC SCHOOL	19350	10.00	*	*	*					
DI	20032004	02	0004	000	VALLEY VIEW PUBLIC SCHOOL	21000	13.00	*	*	*	*	*	*	*	*
DI	20042005	02	0004	000	VALLEY VIEW PUBLIC SCHOOL	21500	14.00	*	*	*	*	*	*	*	*
DI	20052006	02	0004	000	VALLEY VIEW PUBLIC SCHOOL	22000	15.00	*	*	*	*	*	*	*	*
SC	19951996	02	0004	001	VALLEY VIEW PUBLIC SCHOOL	17638	5.00	*	*	*					
SC	20002001	02	0004	001	VALLEY VIEW PUBLIC SCHOOL	19350	10.00	*	*	*					
SC	20032004	02	0004	001	VALLEY VIEW PUBLIC SCHOOL	21000	13.00	*	*	*	*	*	*	*	*
