DATAYEARS,Co-Dist,DISTNAME,COUNTY_NAME,CLASS_CODE,DISTRICT_TYPE_CODE,AGENCYID,COUNTY,DISTRICT,SCHOOL,SchoolName,GRADE_CODE,FWNH,MWNH,FAPI,MAPI,FH,MH,FAIA,MAIA,FBNH,MBNH,Male,Female,TOTAL
20082009,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-002,01,0018,002,HASTINGS MIDDLE SCHOOL        ,02,0,0,0,0,0,0,0,0,0,0,0,0,0
20082009,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-002,01,0018,002,HASTINGS MIDDLE SCHOOL        ,03,0,0,0,0,0,0,0,0,0,0,0,0,0
20082009,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-002,01,0018,002,HASTINGS MIDDLE SCHOOL        ,04,0,0,0,0,0,0,0,0,0,0,0,0,0
20082009,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-002,01,0018,002,HASTINGS MIDDLE SCHOOL        ,05,0,0,0,0,0,0,0,0,0,0,0,0,0
20082009,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-002,01,0018,002,HASTINGS MIDDLE SCHOOL        ,06,77,95,2,2,26,20,2,1,7,2,120,114,234
20082009,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-002,01,0018,002,HASTINGS MIDDLE SCHOOL        ,07,74,95,6,5,14,20,3,0,0,2,122,97,219
20082009,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-002,01,0018,002,HASTINGS MIDDLE SCHOOL        ,08,99,96,3,2,18,19,1,0,5,3,120,126,246
20082009,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-002,01,0018,002,HASTINGS MIDDLE SCHOOL        ,09,0,0,0,0,0,0,0,0,0,0,0,0,0
20082009,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-002,01,0018,002,HASTINGS MIDDLE SCHOOL        ,10,0,0,0,0,0,0,0,0,0,0,0,0,0
20082009,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-002,01,0018,002,HASTINGS MIDDLE SCHOOL        ,11,0,0,0,0,0,0,0,0,0,0,0,0,0
20082009,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-002,01,0018,002,HASTINGS MIDDLE SCHOOL        ,12,0,0,0,0,0,0,0,0,0,0,0,0,0
20082009,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-002,01,0018,002,HASTINGS MIDDLE SCHOOL        ,K ,0,0,0,0,0,0,0,0,0,0,0,0,0
20082009,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-002,01,0018,002,HASTINGS MIDDLE SCHOOL        ,PK,0,0,0,0,0,0,0,0,0,0,0,0,0
20082009,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-003,01,0018,003,ALCOTT ELEMENTARY SCHOOL      ,01,9,15,0,0,13,5,0,0,0,1,21,22,43
20082009,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-003,01,0018,003,ALCOTT ELEMENTARY SCHOOL      ,02,13,14,0,1,6,5,0,2,1,1,23,20,43
20082009,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-003,01,0018,003,ALCOTT ELEMENTARY SCHOOL      ,03,18,18,0,0,6,6,0,2,0,1,27,24,51
20082009,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-003,01,0018,003,ALCOTT ELEMENTARY SCHOOL      ,04,11,15,0,1,10,8,0,0,0,1,25,21,46
