DATAYEARS,Co-Dist,DistName,CLASS_CODE,COUNTY_NAME,DISTRICT_TYPE_CODE,AGENCYID,COUNTY,DISTRICT,SCHOOL,SchName,GRADE_CODE,FWNH,MWNH,FAPI,MAPI,FH,MH,FAIA,MAIA,FBNH,MBNH,Male,Female,TOTAL
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-001,01,0018,001,HASTINGS SENIOR HIGH SCHOOL   ,12,133,118,1,2,18,13,0,2,1,3,138,153,291
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-001,01,0018,001,HASTINGS SENIOR HIGH SCHOOL   ,K ,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-001,01,0018,001,HASTINGS SENIOR HIGH SCHOOL   ,PK,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-002,01,0018,002,HASTINGS MIDDLE SCHOOL        ,01,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-002,01,0018,002,HASTINGS MIDDLE SCHOOL        ,02,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-002,01,0018,002,HASTINGS MIDDLE SCHOOL        ,03,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-002,01,0018,002,HASTINGS MIDDLE SCHOOL        ,04,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-002,01,0018,002,HASTINGS MIDDLE SCHOOL        ,05,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-002,01,0018,002,HASTINGS MIDDLE SCHOOL        ,06,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-002,01,0018,002,HASTINGS MIDDLE SCHOOL        ,07,97,104,3,2,16,18,1,2,4,2,128,121,249
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-002,01,0018,002,HASTINGS MIDDLE SCHOOL        ,08,78,87,1,0,15,29,0,1,1,3,120,95,215
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-002,01,0018,002,HASTINGS MIDDLE SCHOOL        ,09,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-002,01,0018,002,HASTINGS MIDDLE SCHOOL        ,10,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-002,01,0018,002,HASTINGS MIDDLE SCHOOL        ,11,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-002,01,0018,002,HASTINGS MIDDLE SCHOOL        ,12,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-002,01,0018,002,HASTINGS MIDDLE SCHOOL        ,K ,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-002,01,0018,002,HASTINGS MIDDLE SCHOOL        ,PK,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-003,01,0018,003,ALCOTT ELEMENTARY SCHOOL      ,01,12,17,0,1,6,5,0,1,0,0,24,18,42
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-003,01,0018,003,ALCOTT ELEMENTARY SCHOOL      ,02,16,18,0,0,6,6,0,1,0,1,26,22,48
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-003,01,0018,003,ALCOTT ELEMENTARY SCHOOL      ,03,13,16,1,0,8,6,0,0,0,1,23,22,45
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-003,01,0018,003,ALCOTT ELEMENTARY SCHOOL      ,04,13,24,0,0,5,7,0,0,0,0,31,18,49
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-003,01,0018,003,ALCOTT ELEMENTARY SCHOOL      ,05,11,16,0,0,2,3,1,0,1,1,20,15,35
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-003,01,0018,003,ALCOTT ELEMENTARY SCHOOL      ,06,14,11,0,0,3,3,1,0,0,0,14,18,32
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-003,01,0018,003,ALCOTT ELEMENTARY SCHOOL      ,07,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-003,01,0018,003,ALCOTT ELEMENTARY SCHOOL      ,08,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-003,01,0018,003,ALCOTT ELEMENTARY SCHOOL      ,09,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-003,01,0018,003,ALCOTT ELEMENTARY SCHOOL      ,10,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-003,01,0018,003,ALCOTT ELEMENTARY SCHOOL      ,11,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-003,01,0018,003,ALCOTT ELEMENTARY SCHOOL      ,12,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-003,01,0018,003,ALCOTT ELEMENTARY SCHOOL      ,K ,10,15,0,0,12,6,0,0,0,0,21,22,43
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-003,01,0018,003,ALCOTT ELEMENTARY SCHOOL      ,PK,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-004,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL   ,01,22,24,1,1,1,1,0,0,0,0,26,24,50
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-004,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL   ,02,21,23,1,0,2,6,0,0,0,0,29,24,53
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-004,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL   ,03,15,23,1,1,2,1,0,0,0,0,25,18,43
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-004,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL   ,04,19,18,1,1,1,6,0,0,1,0,25,22,47
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-004,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL   ,05,11,21,0,1,5,3,0,0,0,0,25,16,41
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-004,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL   ,06,16,21,2,0,1,1,0,0,0,0,22,19,41
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-004,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL   ,07,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-004,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL   ,08,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-004,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL   ,09,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-004,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL   ,10,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-004,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL   ,11,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-004,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL   ,12,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-004,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL   ,K ,23,26,0,1,6,3,0,0,1,2,32,30,62
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-004,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL   ,PK,19,30,1,2,4,11,0,0,0,0,43,24,67
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-005,01,0018,005,LINCOLN ELEMENTARY SCHOOL     ,01,10,16,1,5,9,4,0,0,1,1,26,21,47
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-005,01,0018,005,LINCOLN ELEMENTARY SCHOOL     ,02,14,25,0,1,3,4,0,0,0,6,36,17,53
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-005,01,0018,005,LINCOLN ELEMENTARY SCHOOL     ,03,11,10,4,1,9,6,1,0,0,1,18,25,43
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-005,01,0018,005,LINCOLN ELEMENTARY SCHOOL     ,04,17,21,0,1,5,4,0,0,1,2,28,23,51
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-005,01,0018,005,LINCOLN ELEMENTARY SCHOOL     ,05,13,12,0,1,9,7,0,1,3,1,22,25,47
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-005,01,0018,005,LINCOLN ELEMENTARY SCHOOL     ,06,9,19,1,0,2,6,0,0,0,1,26,12,38
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-005,01,0018,005,LINCOLN ELEMENTARY SCHOOL     ,07,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-005,01,0018,005,LINCOLN ELEMENTARY SCHOOL     ,08,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-005,01,0018,005,LINCOLN ELEMENTARY SCHOOL     ,09,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-005,01,0018,005,LINCOLN ELEMENTARY SCHOOL     ,10,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-005,01,0018,005,LINCOLN ELEMENTARY SCHOOL     ,11,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-005,01,0018,005,LINCOLN ELEMENTARY SCHOOL     ,12,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-005,01,0018,005,LINCOLN ELEMENTARY SCHOOL     ,K ,24,19,1,0,10,9,0,0,2,0,28,37,65
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-005,01,0018,005,LINCOLN ELEMENTARY SCHOOL     ,PK,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-006,01,0018,006,LONGFELLOW ELEMENTARY SCHOOL  ,01,25,18,1,0,3,2,0,0,0,0,20,29,49
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-006,01,0018,006,LONGFELLOW ELEMENTARY SCHOOL  ,02,19,17,0,2,3,3,0,0,2,0,22,24,46
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-006,01,0018,006,LONGFELLOW ELEMENTARY SCHOOL  ,03,14,22,0,1,4,4,0,0,0,2,29,18,47
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-006,01,0018,006,LONGFELLOW ELEMENTARY SCHOOL  ,04,18,25,0,0,1,5,0,0,1,1,31,20,51
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-006,01,0018,006,LONGFELLOW ELEMENTARY SCHOOL  ,05,17,25,1,0,6,3,0,0,1,0,28,25,53
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-006,01,0018,006,LONGFELLOW ELEMENTARY SCHOOL  ,06,13,18,0,3,5,5,0,0,0,0,26,18,44
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-006,01,0018,006,LONGFELLOW ELEMENTARY SCHOOL  ,07,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-006,01,0018,006,LONGFELLOW ELEMENTARY SCHOOL  ,08,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-006,01,0018,006,LONGFELLOW ELEMENTARY SCHOOL  ,09,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-006,01,0018,006,LONGFELLOW ELEMENTARY SCHOOL  ,10,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-006,01,0018,006,LONGFELLOW ELEMENTARY SCHOOL  ,11,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-006,01,0018,006,LONGFELLOW ELEMENTARY SCHOOL  ,12,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-006,01,0018,006,LONGFELLOW ELEMENTARY SCHOOL  ,K ,24,24,1,0,1,1,0,0,0,0,25,26,51
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-006,01,0018,006,LONGFELLOW ELEMENTARY SCHOOL  ,PK,12,16,3,1,6,2,0,0,0,0,19,21,40
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-007,01,0018,007,MORTON ELEMENTARY SCHOOL      ,01,18,18,0,1,3,3,1,1,1,0,23,23,46
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-007,01,0018,007,MORTON ELEMENTARY SCHOOL      ,02,15,25,1,0,2,5,0,2,0,0,32,18,50
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-007,01,0018,007,MORTON ELEMENTARY SCHOOL      ,03,17,14,0,3,4,2,0,0,0,1,20,21,41
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-007,01,0018,007,MORTON ELEMENTARY SCHOOL      ,04,20,18,1,1,1,5,0,0,1,0,24,23,47
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-007,01,0018,007,MORTON ELEMENTARY SCHOOL      ,05,13,15,1,0,2,4,0,0,0,0,19,16,35
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-007,01,0018,007,MORTON ELEMENTARY SCHOOL      ,06,13,18,3,1,4,4,0,0,0,0,23,20,43
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-007,01,0018,007,MORTON ELEMENTARY SCHOOL      ,07,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-007,01,0018,007,MORTON ELEMENTARY SCHOOL      ,08,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-007,01,0018,007,MORTON ELEMENTARY SCHOOL      ,09,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-007,01,0018,007,MORTON ELEMENTARY SCHOOL      ,10,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-007,01,0018,007,MORTON ELEMENTARY SCHOOL      ,11,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-007,01,0018,007,MORTON ELEMENTARY SCHOOL      ,12,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-007,01,0018,007,MORTON ELEMENTARY SCHOOL      ,K ,15,9,0,1,6,6,0,0,0,0,16,21,37
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-007,01,0018,007,MORTON ELEMENTARY SCHOOL      ,PK,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-008,01,0018,008,RAYMOND A WATSON ELEM SCHOOL  ,01,15,8,1,0,0,0,0,0,0,0,8,16,24
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-008,01,0018,008,RAYMOND A WATSON ELEM SCHOOL  ,02,12,10,0,0,0,0,0,0,0,0,10,12,22
