"DATAYEARS","COUNTY_NAME","CLASS_CODE","CLASS_LITERAL","DistrictName","COUNTY","DISTRICT","SCHOOL","SchoolName","GRADE_CODE","FWNH","MWNH","FAPI","MAPI","FH","MH","FAIA","MAIA","FBNH","MBNH","TOTAL","MALE","FEMALE"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 08","00","0008","002","CENTRAL LEARNING CENTER","11","2","2","0","0","0","0","0","0","0","0","4","2","2"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 08","00","0008","002","CENTRAL LEARNING CENTER","12","4","3","0","0","0","0","0","0","0","0","7","3","4"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 08","00","0008","002","CENTRAL LEARNING CENTER","K ","0","0","0","0","1","0","0","0","0","0","1","0","1"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 08","00","0008","003","WESTERN LEARNING CENTER","01","0","1","0","0","0","0","0","0","0","0","1","1","0"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 08","00","0008","003","WESTERN LEARNING CENTER","02","0","1","0","0","0","0","0","0","0","0","1","1","0"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 08","00","0008","003","WESTERN LEARNING CENTER","05","0","2","0","0","0","0","0","0","0","0","2","2","0"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 08","00","0008","003","WESTERN LEARNING CENTER","06","1","1","0","0","1","0","0","0","0","0","3","1","2"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 08","00","0008","003","WESTERN LEARNING CENTER","07","0","1","0","0","0","0","0","0","0","0","1","1","0"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 08","00","0008","003","WESTERN LEARNING CENTER","08","2","0","0","0","0","0","0","0","1","0","3","0","3"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 08","00","0008","003","WESTERN LEARNING CENTER","10","2","1","0","0","0","0","0","0","0","0","3","1","2"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 08","00","0008","003","WESTERN LEARNING CENTER","11","1","0","0","0","0","0","0","0","0","0","1","0","1"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 08","00","0008","003","WESTERN LEARNING CENTER","12","4","3","0","0","0","0","0","0","0","0","7","3","4"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 09","00","0009","004","RED CLOUD PRESCHOOL CNTR BASE","PK","16","9","0","0","0","0","0","0","0","0","25","9","16"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 09","00","0009","005","SUPERIOR PRESCHOOL CNTR BASE","PK","16","22","0","0","0","0","1","0","1","0","40","22","18"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 09","00","0009","008","LIFE SKILLS PROGRAM","01","1","1","0","0","0","0","0","0","0","0","2","1","1"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 09","00","0009","008","LIFE SKILLS PROGRAM","02","0","1","0","0","0","1","0","0","0","0","2","2","0"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 09","00","0009","008","LIFE SKILLS PROGRAM","03","0","3","0","0","0","0","0","0","1","0","4","3","1"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 09","00","0009","008","LIFE SKILLS PROGRAM","04","0","1","0","0","0","0","0","0","0","0","1","1","0"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 09","00","0009","008","LIFE SKILLS PROGRAM","05","1","2","0","0","0","0","0","0","0","0","3","2","1"
