"DATAYEARS","co-dist","DISTNAME","COUNTY_NAME","CLASS_CODE","DISTRICT_TYPE_CODE","AGENCYID","COUNTY","DISTRICT","SCHOOL","SchoolName","grade_code","FWNH","MWNH","FAPI","MAPI","FH","MH","FAIA","MAIA","FBNH","MBNH","MALE","FEMALE","TOTAL"
"20062007","01-0018","HASTINGS PUBLIC SCHOOLS       ","ADAMS","3","P","01-0018-001","01","0018","001","HASTINGS SENIOR HIGH SCHOOL   ","10",99,88,2,1,15,7,3,2,2,2,100,121,221
"20062007","01-0018","HASTINGS PUBLIC SCHOOLS       ","ADAMS","3","P","01-0018-001","01","0018","001","HASTINGS SENIOR HIGH SCHOOL   ","11",113,106,1,2,16,9,0,1,1,2,120,131,251
"20062007","01-0018","HASTINGS PUBLIC SCHOOLS       ","ADAMS","3","P","01-0018-001","01","0018","001","HASTINGS SENIOR HIGH SCHOOL   ","12",106,103,2,5,10,9,1,4,0,1,122,119,241
"20062007","01-0018","HASTINGS PUBLIC SCHOOLS       ","ADAMS","3","P","01-0018-002","01","0018","002","HASTINGS MIDDLE SCHOOL        ","PK",0,0,0,0,0,0,0,0,0,0,0,0,0
"20062007","01-0018","HASTINGS PUBLIC SCHOOLS       ","ADAMS","3","P","01-0018-002","01","0018","002","HASTINGS MIDDLE SCHOOL        ","K ",0,0,0,0,0,0,0,0,0,0,0,0,0
"20062007","01-0018","HASTINGS PUBLIC SCHOOLS       ","ADAMS","3","P","01-0018-002","01","0018","002","HASTINGS MIDDLE SCHOOL        ","01",0,0,0,0,0,0,0,0,0,0,0,0,0
"20062007","01-0018","HASTINGS PUBLIC SCHOOLS       ","ADAMS","3","P","01-0018-002","01","0018","002","HASTINGS MIDDLE SCHOOL        ","02",0,0,0,0,0,0,0,0,0,0,0,0,0
"20062007","01-0018","HASTINGS PUBLIC SCHOOLS       ","ADAMS","3","P","01-0018-002","01","0018","002","HASTINGS MIDDLE SCHOOL        ","03",0,0,0,0,0,0,0,0,0,0,0,0,0
"20062007","01-0018","HASTINGS PUBLIC SCHOOLS       ","ADAMS","3","P","01-0018-002","01","0018","002","HASTINGS MIDDLE SCHOOL        ","04",0,0,0,0,0,0,0,0,0,0,0,0,0
"20062007","01-0018","HASTINGS PUBLIC SCHOOLS       ","ADAMS","3","P","01-0018-002","01","0018","002","HASTINGS MIDDLE SCHOOL        ","05",0,0,0,0,0,0,0,0,0,0,0,0,0
"20062007","01-0018","HASTINGS PUBLIC SCHOOLS       ","ADAMS","3","P","01-0018-002","01","0018","002","HASTINGS MIDDLE SCHOOL        ","06",0,0,0,0,0,0,0,0,0,0,0,0,0
"20062007","01-0018","HASTINGS PUBLIC SCHOOLS       ","ADAMS","3","P","01-0018-002","01","0018","002","HASTINGS MIDDLE SCHOOL        ","07",74,85,1,1,14,22,0,1,1,3,112,90,202
"20062007","01-0018","HASTINGS PUBLIC SCHOOLS       ","ADAMS","3","P","01-0018-002","01","0018","002","HASTINGS MIDDLE SCHOOL        ","08",88,78,5,2,9,15,1,1,2,2,98,105,203
"20062007","01-0018","HASTINGS PUBLIC SCHOOLS       ","ADAMS","3","P","01-0018-002","01","0018","002","HASTINGS MIDDLE SCHOOL        ","09",0,0,0,0,0,0,0,0,0,0,0,0,0
"20062007","01-0018","HASTINGS PUBLIC SCHOOLS       ","ADAMS","3","P","01-0018-002","01","0018","002","HASTINGS MIDDLE SCHOOL        ","10",0,0,0,0,0,0,0,0,0,0,0,0,0
"20062007","01-0018","HASTINGS PUBLIC SCHOOLS       ","ADAMS","3","P","01-0018-002","01","0018","002","HASTINGS MIDDLE SCHOOL        ","11",0,0,0,0,0,0,0,0,0,0,0,0,0
"20062007","01-0018","HASTINGS PUBLIC SCHOOLS       ","ADAMS","3","P","01-0018-002","01","0018","002","HASTINGS MIDDLE SCHOOL        ","12",0,0,0,0,0,0,0,0,0,0,0,0,0
"20062007","01-0018","HASTINGS PUBLIC SCHOOLS       ","ADAMS","3","P","01-0018-003","01","0018","003","ALCOTT ELEMENTARY SCHOOL      ","PK",0,0,0,0,0,0,0,0,0,0,0,0,0
