Type	School Year	County	District	School	Agency Name	Average Teacher Salary	Average Years of Teaching Experience	Masters Count	Percentage of Teachers with Master’s Degrees	Teacher FTE	AM_5	AS_5	BL_5	HI_5	WH_5	AM_7	AS_7	BL_7	HI_7	PI_7	WH_7	MU_7	DataAsOf	
SC	20112012	01	0018	005	LINCOLN ELEMENTARY SCHOOL	51568	18.56	13	0.4815	24.65						0.00	1.00	1.00	0.00	0.00	22.65	0.00	11/26/2012	
SC	20122013	01	0018	005	LINCOLN ELEMENTARY SCHOOL	50414	18.08	12	0.4615	23.65						0.00	0.00	1.00	0.00	0.00	22.65	0.00	07/05/2013	
SC	20082009	01	0018	006	LONGFELLOW ELEMENTARY SCHOOL	45089	15.57	14	0.5000	22.96	0.00	0.00	0.32	0.00	22.64								11/26/2012	
SC	20092010	01	0018	006	LONGFELLOW ELEMENTARY SCHOOL	45123	13.79	11	0.3929	23.75	0.00	0.00	0.00	0.70	23.05								11/26/2012	
SC	20102011	01	0018	006	LONGFELLOW ELEMENTARY SCHOOL	46195	13.39	14	0.5000	24.20						0.00	0.00	0.00	1.00	0.00	23.20	0.00	11/26/2012	
SC	20112012	01	0018	006	LONGFELLOW ELEMENTARY SCHOOL	46662	13.79	15	0.5172	25.40						0.00	0.00	0.00	1.00	0.00	24.40	0.00	11/26/2012	
SC	20122013	01	0018	006	LONGFELLOW ELEMENTARY SCHOOL	47540	13.13	16	0.5333	26.40						0.00	0.00	0.00	1.00	0.00	25.40	0.00	07/05/2013	
SC	20082009	01	0018	007	MORTON ELEMENTARY SCHOOL	48352	18.46	15	0.6250	19.77	0.00	0.00	0.21	0.00	19.56								11/26/2012	
SC	20092010	01	0018	007	MORTON ELEMENTARY SCHOOL	47592	17.63	11	0.4583	20.00	0.00	0.00	0.00	0.30	19.70								11/26/2012	
SC	20102011	01	0018	007	MORTON ELEMENTARY SCHOOL	51546	18.77	13	0.5909	19.15						1.00	0.00	0.00	0.00	0.00	18.15	0.00	11/26/2012	
SC	20112012	01	0018	007	MORTON ELEMENTARY SCHOOL	51329	18.00	15	0.6522	19.70						1.00	0.00	0.00	0.00	0.00	18.70	0.00	11/26/2012	
SC	20122013	01	0018	007	MORTON ELEMENTARY SCHOOL	48361	15.21	13	0.5417	21.01						1.00	0.00	0.00	0.00	0.00	20.01	0.00	07/05/2013	
SC	20082009	01	0018	008	RAYMOND A WATSON ELEM SCHOOL	45579	16.26	9	0.4737	11.31	0.00	0.00	0.21	0.00	11.10								11/26/2012	
SC	20092010	01	0018	008	RAYMOND A WATSON ELEM SCHOOL	47741	18.29	7	0.5000	10.47	0.00	0.00	0.00	0.00	10.47								11/26/2012	
SC	20102011	01	0018	008	RAYMOND A WATSON ELEM SCHOOL	48578	16.56	9	0.5625	12.53						0.00	0.00	0.00	0.00	0.00	12.53	0.00	11/26/2012	
SC	20112012	01	0018	008	RAYMOND A WATSON ELEM SCHOOL	51446	19.25	10	0.6250	12.50						0.00	0.00	0.00	0.00	0.00	12.50	0.00	11/26/2012	
SC	20122013	01	0018	008	RAYMOND A WATSON ELEM SCHOOL	50788	18.83	10	0.5556	13.45						0.00	0.00	0.00	0.00	0.00	13.45	0.00	07/05/2013	
DI	20082009	01	0090	000	ADAMS CENTRAL PUBLIC SCHOOLS	44328	16.55	24	0.3636	65.10	0.00	0.00	0.00	0.00	65.10								11/26/2012	
DI	20092010	01	0090	000	ADAMS CENTRAL PUBLIC SCHOOLS	46451	17.33	26	0.3881	65.75	0.00	0.00	0.00	0.00	65.75								11/26/2012	
DI	20102011	01	0090	000	ADAMS CENTRAL PUBLIC SCHOOLS	48682	17.71	31	0.4493	67.16						0.00	0.00	0.00	0.00	0.00	67.16	0.00	11/26/2012	
DI	20112012	01	0090	000	ADAMS CENTRAL PUBLIC SCHOOLS	49163	18.35	32	0.4638	67.77						0.00	0.00	0.00	0.00	0.00	67.77	0.00	11/26/2012	
DI	20122013	01	0090	000	ADAMS CENTRAL PUBLIC SCHOOLS	50412	18.27	30	0.4762	63.00						0.00	0.00	0.00	0.00	0.00	63.00	0.00	07/05/2013	
SC	20082009	01	0090	001	ADAMS CENTRAL JR-SR HIGH SCH	45395	16.00	17	0.5000	33.60	0.00	0.00	0.00	0.00	33.60								11/26/2012	
SC	20092010	01	0090	001	ADAMS CENTRAL JR-SR HIGH SCH	46255	17.06	17	0.5152	31.90	0.00	0.00	0.00	0.00	31.90								11/26/2012	
SC	20102011	01	0090	001	ADAMS CENTRAL JR-SR HIGH SCH	49987	17.63	21	0.6000	33.46						0.00	0.00	0.00	0.00	0.00	33.46	0.00	11/26/2012	
SC	20112012	01	0090	001	ADAMS CENTRAL JR-SR HIGH SCH	50501	18.69	21	0.6000	33.69						0.00	0.00	0.00	0.00	0.00	33.69	0.00	11/26/2012	
