Type	School Year	County	District	School	Agency Name	Average Teacher Salary	Average Years of Teaching Experience	Masters Count	Percentage of Teachers with Master’s Degrees	Teacher FTE	AM_5	AS_5	BL_5	HI_5	WH_5	AM_7	AS_7	BL_7	HI_7	PI_7	WH_7	MU_7	DataAsOf	
SC	20102011	33	0540	001	SOUTHERN VALLEY JR/SR HIGH	44002	14.15	7	0.2692	23.23						0.00	0.00	0.00	0.00	0.00	23.23	0.00	11/26/2012	
SC	20112012	33	0540	001	SOUTHERN VALLEY JR/SR HIGH	43745	15.91	8	0.3478	21.87						0.00	0.00	0.00	0.00	0.00	21.87	0.00	11/26/2012	
SC	20122013	33	0540	001	SOUTHERN VALLEY JR/SR HIGH	46021	16.74	7	0.3043	20.61						0.00	0.00	0.00	0.00	0.00	20.61	0.00	07/05/2013	
SC	20082009	33	0540	007	SO VALLEY ELEMENTARY SCHOOL	42524	21.43	3	0.1304	21.80	0.00	0.00	0.00	0.00	21.80								11/26/2012	
SC	20092010	33	0540	007	SO VALLEY ELEMENTARY SCHOOL	42123	20.04	3	0.1304	21.60	0.00	0.00	0.00	0.00	21.60								11/26/2012	
SC	20102011	33	0540	007	SO VALLEY ELEMENTARY SCHOOL	43294	19.76	3	0.1429	20.30						0.00	0.00	0.00	0.00	0.00	20.30	0.00	11/26/2012	
SC	20112012	33	0540	007	SO VALLEY ELEMENTARY SCHOOL	44873	20.63	3	0.1579	18.80						0.00	0.00	0.00	0.00	0.00	18.80	0.00	11/26/2012	
SC	20122013	33	0540	007	SO VALLEY ELEMENTARY SCHOOL	44998	18.38	3	0.1429	18.96						0.00	0.00	0.00	0.00	0.00	18.96	0.00	07/05/2013	
DI	20082009	34	0001	000	SOUTHERN SCHOOL DIST 1	41661	21.14	15	0.3488	40.85	0.00	0.00	0.00	0.00	40.85								11/26/2012	
DI	20092010	34	0001	000	SOUTHERN SCHOOL DIST 1	43312	21.33	14	0.3333	40.60	0.00	0.00	0.00	0.00	40.60								11/26/2012	
DI	20102011	34	0001	000	SOUTHERN SCHOOL DIST 1	42324	18.35	10	0.2703	36.10						0.00	0.00	0.00	0.00	0.00	36.10	0.00	11/26/2012	
DI	20112012	34	0001	000	SOUTHERN SCHOOL DIST 1	42217	16.31	9	0.2500	35.10						0.00	0.00	0.00	0.00	0.00	35.10	0.00	11/26/2012	
DI	20122013	34	0001	000	SOUTHERN SCHOOL DIST 1	42367	16.05	9	0.2308	38.10						0.00	0.00	0.00	0.00	0.00	38.10	0.00	07/05/2013	
SC	20082009	34	0001	001	SOUTHERN HIGH SCHOOL	42489	24.58	9	0.3750	20.75	0.00	0.00	0.00	0.00	20.75								11/26/2012	
SC	20092010	34	0001	001	SOUTHERN HIGH SCHOOL	44076	25.65	8	0.3478	19.75	0.00	0.00	0.00	0.00	19.75								11/26/2012	
SC	20102011	34	0001	001	SOUTHERN HIGH SCHOOL	41611	19.95	5	0.2500	16.28						0.00	0.00	0.00	0.00	0.00	16.28	0.00	11/26/2012	
SC	20112012	34	0001	001	SOUTHERN HIGH SCHOOL	41678	17.63	4	0.2105	16.25						0.00	0.00	0.00	0.00	0.00	16.25	0.00	11/26/2012	
SC	20122013	34	0001	001	SOUTHERN HIGH SCHOOL	42212	17.05	4	0.1905	18.25						0.00	0.00	0.00	0.00	0.00	18.25	0.00	07/05/2013	
SC	20082009	34	0001	002	SOUTHERN ELEMENTARY SCHOOL	41273	18.09	7	0.3182	20.10	0.00	0.00	0.00	0.00	20.10								11/26/2012	
SC	20092010	34	0001	002	SOUTHERN ELEMENTARY SCHOOL	42999	17.64	7	0.3182	20.85	0.00	0.00	0.00	0.00	20.85								11/26/2012	
SC	20102011	34	0001	002	SOUTHERN ELEMENTARY SCHOOL	44036	18.38	6	0.2857	19.82						0.00	0.00	0.00	0.00	0.00	19.82	0.00	11/26/2012	
SC	20112012	34	0001	002	SOUTHERN ELEMENTARY SCHOOL	43762	17.00	6	0.3000	18.85						0.00	0.00	0.00	0.00	0.00	18.85	0.00	11/26/2012	
SC	20122013	34	0001	002	SOUTHERN ELEMENTARY SCHOOL	43398	17.10	6	0.2857	19.85						0.00	0.00	0.00	0.00	0.00	19.85	0.00	07/05/2013	
DI	20082009	34	0015	000	BEATRICE PUBLIC SCHOOLS	48124	18.19	89	0.5855	152.38	1.00	1.00	0.00	0.00	150.38								11/26/2012	
DI	20092010	34	0015	000	BEATRICE PUBLIC SCHOOLS	49396	18.18	92	0.6133	149.88	1.00	1.00	0.00	0.00	147.88								11/26/2012	
DI	20102011	34	0015	000	BEATRICE PUBLIC SCHOOLS	48531	17.97	90	0.6000	150.01						0.80	0.00	0.00	2.00	1.00	144.21	2.00	11/26/2012	
DI	20112012	34	0015	000	BEATRICE PUBLIC SCHOOLS	50010	17.96	92	0.6174	148.59						0.00	0.00	0.00	2.00	1.00	106.74	38.85	11/26/2012	
DI	20122013	34	0015	000	BEATRICE PUBLIC SCHOOLS	51766	18.30	91	0.6107	148.26						0.00	0.00	0.00	3.00	0.00	145.26	0.00	07/05/2013	
SC	20082009	34	0015	001	BEATRICE HIGH SCHOOL	46757	15.90	29	0.5800	47.69	0.00	0.00	0.00	0.00	47.69								11/26/2012	
SC	20092010	34	0015	001	BEATRICE HIGH SCHOOL	48110	15.90	30	0.6122	46.69	0.00	0.00	0.00	0.00	46.69								11/26/2012	
SC	20102011	34	0015	001	BEATRICE HIGH SCHOOL	47253	15.49	30	0.6122	46.11						0.00	0.00	0.00	1.75	0.00	42.36	2.00	11/26/2012	
SC	20112012	34	0015	001	BEATRICE HIGH SCHOOL	48830	15.17	32	0.6667	46.22						0.00	0.00	0.00	1.75	0.00	29.97	14.50	11/26/2012	
SC	20122013	34	0015	001	BEATRICE HIGH SCHOOL	50387	15.13	32	0.6957	44.22						0.00	0.00	0.00	2.75	0.00	41.47	0.00	07/05/2013	
SC	20082009	34	0015	002	BEATRICE MIDDLE SCHOOL	48857	18.22	26	0.6341	38.96	1.00	0.00	0.00	0.00	37.96								11/26/2012	
SC	20092010	34	0015	002	BEATRICE MIDDLE SCHOOL	50448	19.22	26	0.6341	38.96	1.00	0.00	0.00	0.00	37.96								11/26/2012	
SC	20102011	34	0015	002	BEATRICE MIDDLE SCHOOL	49354	18.76	26	0.6190	39.21						0.00	0.00	0.00	0.00	0.00	39.21	0.00	11/26/2012	
SC	20112012	34	0015	002	BEATRICE MIDDLE SCHOOL	50098	18.87	22	0.5641	37.25						0.00	0.00	0.00	0.00	0.00	26.75	10.50	11/26/2012	
SC	20122013	34	0015	002	BEATRICE MIDDLE SCHOOL	53022	19.24	26	0.6190	37.52						0.00	0.00	0.00	0.00	0.00	37.52	0.00	07/05/2013	
SC	20082009	34	0015	003	CEDAR ELEMENTARY SCHOOL	45733	20.18	8	0.4706	13.66	0.00	0.00	0.00	0.00	13.66								11/26/2012	
SC	20092010	34	0015	003	CEDAR ELEMENTARY SCHOOL	47672	19.93	8	0.5333	12.16	0.00	0.00	0.00	0.00	12.16								11/26/2012	
SC	20102011	34	0015	003	CEDAR ELEMENTARY SCHOOL	45955	19.07	8	0.5333	12.16						0.00	0.00	0.00	0.00	0.00	12.16	0.00	11/26/2012	
SC	20112012	34	0015	003	CEDAR ELEMENTARY SCHOOL	48423	18.86	8	0.5714	11.95						0.00	0.00	0.00	0.00	0.00	5.60	6.35	11/26/2012	
SC	20122013	34	0015	003	CEDAR ELEMENTARY SCHOOL	52132	20.23	7	0.5385	10.95						0.00	0.00	0.00	0.00	0.00	10.95	0.00	07/05/2013	
SC	20082009	34	0015	004	LINCOLN ELEMENTARY SCHOOL	45990	16.55	11	0.5500	16.77	0.00	0.00	0.00	0.00	16.77								11/26/2012	
SC	20092010	34	0015	004	LINCOLN ELEMENTARY SCHOOL	45600	15.11	10	0.5263	16.27	0.00	0.00	0.00	0.00	16.27								11/26/2012	
SC	20102011	34	0015	004	LINCOLN ELEMENTARY SCHOOL	45743	16.11	10	0.5263	16.27						0.00	0.00	0.00	0.00	0.00	16.27	0.00	11/26/2012	
SC	20112012	34	0015	004	LINCOLN ELEMENTARY SCHOOL	48337	16.71	10	0.5882	15.10						0.00	0.00	0.00	0.00	0.00	12.60	2.50	11/26/2012	
SC	20122013	34	0015	004	LINCOLN ELEMENTARY SCHOOL	51404	18.29	11	0.6471	15.10						0.00	0.00	0.00	0.00	0.00	15.10	0.00	07/05/2013	
SC	20082009	34	0015	005	STODDARD ELEMENTARY SCHOOL	51787	24.40	13	0.6500	16.03	0.00	1.00	0.00	0.00	15.03								11/26/2012	
SC	20092010	34	0015	005	STODDARD ELEMENTARY SCHOOL	52922	24.16	12	0.6316	15.53	0.00	1.00	0.00	0.00	14.53								11/26/2012	
SC	20102011	34	0015	005	STODDARD ELEMENTARY SCHOOL	51323	24.05	12	0.6000	15.86						0.00	0.00	0.00	0.25	1.00	14.61	0.00	11/26/2012	
SC	20112012	34	0015	005	STODDARD ELEMENTARY SCHOOL	53467	24.00	11	0.6111	15.35						0.00	0.00	0.00	0.25	1.00	14.10	0.00	11/26/2012	
SC	20122013	34	0015	005	STODDARD ELEMENTARY SCHOOL	56335	25.00	11	0.6111	15.35						0.00	0.00	0.00	0.25	0.00	15.10	0.00	07/05/2013	
SC	20082009	34	0015	006	PADDOCK LANE SCHOOL	49118	24.18	9	0.4091	19.27	0.00	0.00	0.00	0.00	19.27								11/26/2012	
SC	20092010	34	0015	006	PADDOCK LANE SCHOOL	50001	22.91	11	0.4783	20.27	0.00	0.00	0.00	0.00	20.27								11/26/2012	
SC	20102011	34	0015	006	PADDOCK LANE SCHOOL	49404	23.54	12	0.5000	20.40						0.80	0.00	0.00	0.00	0.00	19.60	0.00	11/26/2012	
SC	20112012	34	0015	006	PADDOCK LANE SCHOOL	50336	20.68	14	0.5600	22.72						0.00	0.00	0.00	0.00	0.00	17.72	5.00	11/26/2012	
SC	20122013	34	0015	006	PADDOCK LANE SCHOOL	51435	18.82	13	0.4643	25.12						0.00	0.00	0.00	0.00	0.00	25.12	0.00	07/05/2013	
DI	20082009	34	0034	000	FREEMAN PUBLIC SCHOOLS	40611	15.28	17	0.5313	30.05	0.00	0.00	0.00	0.80	29.25								11/26/2012	
DI	20092010	34	0034	000	FREEMAN PUBLIC SCHOOLS	42303	15.30	17	0.5152	31.27	0.00	0.00	0.00	0.00	31.27								11/26/2012	
DI	20102011	34	0034	000	FREEMAN PUBLIC SCHOOLS	43276	15.97	16	0.4706	30.94						0.00	0.00	0.00	0.00	0.00	30.94	0.00	11/26/2012	
DI	20112012	34	0034	000	FREEMAN PUBLIC SCHOOLS	45024	16.51	18	0.5143	32.81						0.00	0.00	0.00	0.00	0.00	32.81	0.00	11/26/2012	
DI	20122013	34	0034	000	FREEMAN PUBLIC SCHOOLS	46682	16.65	21	0.5676	33.94						0.00	0.00	0.00	0.00	0.00	33.94	0.00	07/05/2013	
SC	20082009	34	0034	001	FREEMAN HIGH SCHOOL	39319	13.69	9	0.5625	14.41	0.00	0.00	0.00	0.80	13.61								11/26/2012	
SC	20092010	34	0034	001	FREEMAN HIGH SCHOOL	40828	13.65	9	0.5294	14.51	0.00	0.00	0.00	0.00	14.51								11/26/2012	
SC	20102011	34	0034	001	FREEMAN HIGH SCHOOL	41618	14.59	7	0.4118	14.43						0.00	0.00	0.00	0.00	0.00	14.43	0.00	11/26/2012	
SC	20112012	34	0034	001	FREEMAN HIGH SCHOOL	43189	14.83	9	0.5000	15.43						0.00	0.00	0.00	0.00	0.00	15.43	0.00	11/26/2012	
SC	20122013	34	0034	001	FREEMAN HIGH SCHOOL	44685	14.25	11	0.5500	15.56						0.00	0.00	0.00	0.00	0.00	15.56	0.00	07/05/2013	
SC	20082009	34	0034	002	FREEMAN ELEMENTARY-ADAMS	40807	15.57	10	0.4762	15.64	0.00	0.00	0.00	0.00	15.64								11/26/2012	
SC	20092010	34	0034	002	FREEMAN ELEMENTARY-ADAMS	43520	16.65	10	0.5000	16.76	0.00	0.00	0.00	0.00	16.76								11/26/2012	
SC	20102011	34	0034	002	FREEMAN ELEMENTARY-ADAMS	44561	17.55	10	0.5000	16.51						0.00	0.00	0.00	0.00	0.00	16.51	0.00	11/26/2012	
SC	20112012	34	0034	002	FREEMAN ELEMENTARY-ADAMS	46491	18.50	10	0.5000	17.38						0.00	0.00	0.00	0.00	0.00	17.38	0.00	11/26/2012	
SC	20122013	34	0034	002	FREEMAN ELEMENTARY-ADAMS	47499	19.14	11	0.5238	18.38						0.00	0.00	0.00	0.00	0.00	18.38	0.00	07/05/2013	
DI	20082009	34	0100	000	DILLER-ODELL PUBLIC SCHOOLS	45226	21.56	3	0.1200	23.90	0.00	0.00	0.00	0.00	23.90								11/26/2012	
DI	20092010	34	0100	000	DILLER-ODELL PUBLIC SCHOOLS	43031	19.04	8	0.2963	25.87	0.00	0.00	0.00	0.00	25.87								11/26/2012	
DI	20102011	34	0100	000	DILLER-ODELL PUBLIC SCHOOLS	44700	19.85	8	0.2963	25.82						0.00	0.00	0.00	0.00	0.00	25.82	0.00	11/26/2012	
DI	20112012	34	0100	000	DILLER-ODELL PUBLIC SCHOOLS	44702	20.00	7	0.2800	24.80						0.00	0.00	0.00	0.00	0.00	24.80	0.00	11/26/2012	
DI	20122013	34	0100	000	DILLER-ODELL PUBLIC SCHOOLS	45133	19.04	8	0.3077	25.35						0.00	0.00	0.00	0.00	0.00	25.35	0.00	07/05/2013	
SC	20082009	34	0100	001	DILLER-ODELL SECONDARY SCHOOL	47522	24.00	2	0.1429	13.05	0.00	0.00	0.00	0.00	13.05								11/26/2012	
SC	20092010	34	0100	001	DILLER-ODELL SECONDARY SCHOOL	43375	19.93	7	0.4667	13.07	0.00	0.00	0.00	0.00	13.07								11/26/2012	
SC	20102011	34	0100	001	DILLER-ODELL SECONDARY SCHOOL	45341	20.60	7	0.4667	13.02						0.00	0.00	0.00	0.00	0.00	13.02	0.00	11/26/2012	
SC	20112012	34	0100	001	DILLER-ODELL SECONDARY SCHOOL	44622	20.93	6	0.4286	13.00						0.00	0.00	0.00	0.00	0.00	13.00	0.00	11/26/2012	
SC	20122013	34	0100	001	DILLER-ODELL SECONDARY SCHOOL	44523	18.47	7	0.4667	13.55						0.00	0.00	0.00	0.00	0.00	13.55	0.00	07/05/2013	
SC	20082009	34	0100	002	DILLER-ODELL ELEM SCHOOL	42303	18.45	1	0.0909	10.85	0.00	0.00	0.00	0.00	10.85								11/26/2012	
SC	20092010	34	0100	002	DILLER-ODELL ELEM SCHOOL	42378	17.93	2	0.1333	12.80	0.00	0.00	0.00	0.00	12.80								11/26/2012	
SC	20102011	34	0100	002	DILLER-ODELL ELEM SCHOOL	43786	18.93	2	0.1333	12.80						0.00	0.00	0.00	0.00	0.00	12.80	0.00	11/26/2012	
SC	20112012	34	0100	002	DILLER-ODELL ELEM SCHOOL	44527	18.93	2	0.1429	11.80						0.00	0.00	0.00	0.00	0.00	11.80	0.00	11/26/2012	
SC	20122013	34	0100	002	DILLER-ODELL ELEM SCHOOL	48219	19.93	2	0.1429	11.80						0.00	0.00	0.00	0.00	0.00	11.80	0.00	07/05/2013	
DI	20082009	35	0001	000	GARDEN COUNTY SCHOOLS	41757	13.82	8	0.2857	24.76	0.00	0.00	0.00	0.00	24.76								11/26/2012	
DI	20092010	35	0001	000	GARDEN COUNTY SCHOOLS	42387	13.66	10	0.3448	25.25	0.00	0.00	0.00	0.00	25.25								11/26/2012	
DI	20102011	35	0001	000	GARDEN COUNTY SCHOOLS	47238	14.24	7	0.2800	22.39						0.00	0.00	0.00	0.00	0.00	22.39	0.00	11/26/2012	
DI	20112012	35	0001	000	GARDEN COUNTY SCHOOLS	45903	13.07	9	0.3333	23.62						0.00	0.00	0.00	0.00	0.00	23.62	0.00	11/26/2012	
DI	20122013	35	0001	000	GARDEN COUNTY SCHOOLS	57268	10.69	7	0.2692	23.32						0.00	0.00	0.00	1.00	0.00	22.32	0.00	07/05/2013	
SC	20082009	35	0001	001	GARDEN COUNTY HIGH SCHOOL	35404	7.73	4	0.2667	10.61	0.00	0.00	0.00	0.00	10.61								11/26/2012	
SC	20092010	35	0001	001	GARDEN COUNTY HIGH SCHOOL	38395	8.33	4	0.2667	10.95	0.00	0.00	0.00	0.00	10.95								11/26/2012	
SC	20102011	35	0001	001	GARDEN COUNTY HIGH SCHOOL	44103	10.38	4	0.3077	9.52						0.00	0.00	0.00	0.00	0.00	9.52	0.00	11/26/2012	
SC	20112012	35	0001	001	GARDEN COUNTY HIGH SCHOOL	42508	8.43	6	0.4286	9.75						0.00	0.00	0.00	0.00	0.00	9.75	0.00	11/26/2012	
SC	20122013	35	0001	001	GARDEN COUNTY HIGH SCHOOL	57998	10.62	4	0.3077	9.26						0.00	0.00	0.00	0.50	0.00	8.76	0.00	07/05/2013	
SC	20082009	35	0001	002	GARDEN COUNTY ELEMENTARY SCH	45494	17.67	2	0.1667	7.67	0.00	0.00	0.00	0.00	7.67								11/26/2012	
SC	20092010	35	0001	002	GARDEN COUNTY ELEMENTARY SCH	47740	20.45	3	0.2727	8.05	0.00	0.00	0.00	0.00	8.05								11/26/2012	
SC	20102011	35	0001	002	GARDEN COUNTY ELEMENTARY SCH	49594	16.70	2	0.2000	8.50						0.00	0.00	0.00	0.00	0.00	8.50	0.00	11/26/2012	
SC	20112012	35	0001	002	GARDEN COUNTY ELEMENTARY SCH	45095	15.00	2	0.1667	9.59						0.00	0.00	0.00	0.00	0.00	9.59	0.00	11/26/2012	
SC	20122013	35	0001	002	GARDEN COUNTY ELEMENTARY SCH	53926	9.38	2	0.1538	8.98						0.00	0.00	0.00	0.00	0.00	8.98	0.00	07/05/2013	
SC	20082009	35	0001	003	GARDEN COUNTY JR HIGH SCHOOL	39285	13.55	4	0.3636	6.48	0.00	0.00	0.00	0.00	6.48								11/26/2012	
SC	20092010	35	0001	003	GARDEN COUNTY JR HIGH SCHOOL	42051	12.25	6	0.5000	6.25	0.00	0.00	0.00	0.00	6.25								11/26/2012	
SC	20102011	35	0001	003	GARDEN COUNTY JR HIGH SCHOOL	51122	19.00	2	0.3333	4.37						0.00	0.00	0.00	0.00	0.00	4.37	0.00	11/26/2012	
SC	20112012	35	0001	003	GARDEN COUNTY JR HIGH SCHOOL	51784	15.33	2	0.3333	4.28						0.00	0.00	0.00	0.00	0.00	4.28	0.00	11/26/2012	
SC	20122013	35	0001	003	GARDEN COUNTY JR HIGH SCHOOL	59515	11.56	3	0.3333	5.08						0.00	0.00	0.00	0.50	0.00	4.58	0.00	07/05/2013	
DI	20082009	36	0100	000	BURWELL PUBLIC SCHOOLS	39986	19.74	8	0.2353	33.50	0.00	0.00	0.00	0.00	33.50								11/26/2012	
DI	20092010	36	0100	000	BURWELL PUBLIC SCHOOLS	40384	19.29	12	0.3158	35.87	0.00	0.00	0.00	0.00	35.87								11/26/2012	
DI	20102011	36	0100	000	BURWELL PUBLIC SCHOOLS	41613	19.86	15	0.4054	34.13						0.00	0.00	0.00	0.00	0.00	34.13	0.00	11/26/2012	
DI	20112012	36	0100	000	BURWELL PUBLIC SCHOOLS	46528	21.11	15	0.4167	33.13						0.00	0.00	0.00	0.00	0.00	33.13	0.00	11/26/2012	
DI	20122013	36	0100	000	BURWELL PUBLIC SCHOOLS	45384	20.18	15	0.4545	31.55						0.00	0.00	0.00	0.00	0.00	31.55	0.00	07/05/2013	
SC	20082009	36	0100	001	BURWELL JR-SR HIGH SCHOOL	40402	18.85	5	0.2500	18.83	0.00	0.00	0.00	0.00	18.83								11/26/2012	
SC	20092010	36	0100	001	BURWELL JR-SR HIGH SCHOOL	42547	20.00	7	0.3182	19.70	0.00	0.00	0.00	0.00	19.70								11/26/2012	
SC	20102011	36	0100	001	BURWELL JR-SR HIGH SCHOOL	43028	20.17	8	0.3478	19.96						0.00	0.00	0.00	0.00	0.00	19.96	0.00	11/26/2012	
SC	20112012	36	0100	001	BURWELL JR-SR HIGH SCHOOL	47141	21.17	8	0.3478	19.96						0.00	0.00	0.00	0.00	0.00	19.96	0.00	11/26/2012	
SC	20122013	36	0100	001	BURWELL JR-SR HIGH SCHOOL	45454	18.85	6	0.3000	18.58						0.00	0.00	0.00	0.00	0.00	18.58	0.00	07/05/2013	
SC	20082009	36	0100	002	RICHLAND SCHOOL	37536	23.00	0	0.0000	1.00	0.00	0.00	0.00	0.00	1.00								11/26/2012	
SC	20092010	36	0100	002	RICHLAND SCHOOL	38916	18.00	0	0.0000	1.50	0.00	0.00	0.00	0.00	1.50								11/26/2012	
SC	20082009	36	0100	003	BURWELL ELEMENTARY SCHOOL	38406	20.00	3	0.2143	12.67	0.00	0.00	0.00	0.00	12.67								11/26/2012	
SC	20092010	36	0100	003	BURWELL ELEMENTARY SCHOOL	36361	17.44	5	0.3125	13.67	0.00	0.00	0.00	0.00	13.67								11/26/2012	
SC	20102011	36	0100	003	BURWELL ELEMENTARY SCHOOL	38159	18.80	6	0.4000	13.17						0.00	0.00	0.00	0.00	0.00	13.17	0.00	11/26/2012	
SC	20112012	36	0100	003	BURWELL ELEMENTARY SCHOOL	45358	20.36	6	0.4286	12.17						0.00	0.00	0.00	0.00	0.00	12.17	0.00	11/26/2012	
SC	20122013	36	0100	003	BURWELL ELEMENTARY SCHOOL	43268	21.50	8	0.5714	11.97						0.00	0.00	0.00	0.00	0.00	11.97	0.00	07/05/2013	
SC	20082009	36	0100	004	DISTRICT 70 ELEMENTARY SCHOOL	35088	22.00	0	0.0000	1.00	0.00	0.00	0.00	0.00	1.00								11/26/2012	
SC	20092010	36	0100	004	DISTRICT 70 ELEMENTARY SCHOOL	38916	23.00	0	0.0000	1.00	0.00	0.00	0.00	0.00	1.00								11/26/2012	
SC	20102011	36	0100	004	DISTRICT 70 ELEMENTARY SCHOOL	43700	24.00	1	1.0000	1.00						0.00	0.00	0.00	0.00	0.00	1.00	0.00	11/26/2012	
SC	20112012	36	0100	004	DISTRICT 70 ELEMENTARY SCHOOL	47093	25.00	1	1.0000	1.00						0.00	0.00	0.00	0.00	0.00	1.00	0.00	11/26/2012	
SC	20122013	36	0100	004	DISTRICT 70 ELEMENTARY SCHOOL	49500	26.00	1	1.0000	1.00						0.00	0.00	0.00	0.00	0.00	1.00	0.00	07/05/2013	
DI	20082009	37	0030	000	ELWOOD PUBLIC SCHOOLS	41727	20.50	7	0.3182	21.50	0.00	0.00	0.00	0.00	21.50								11/26/2012	
DI	20092010	37	0030	000	ELWOOD PUBLIC SCHOOLS	44145	22.73	7	0.3182	21.50	0.00	0.00	0.00	0.00	21.50								11/26/2012	
DI	20102011	37	0030	000	ELWOOD PUBLIC SCHOOLS	43560	21.04	8	0.3478	22.88						0.00	0.00	0.00	0.00	0.00	22.88	0.00	11/26/2012	
DI	20112012	37	0030	000	ELWOOD PUBLIC SCHOOLS	43887	20.52	7	0.3043	22.88						0.00	0.00	0.00	0.00	0.00	22.88	0.00	11/26/2012	
DI	20122013	37	0030	000	ELWOOD PUBLIC SCHOOLS	44713	19.83	7	0.3043	23.00						0.00	0.00	0.00	0.00	0.00	23.00	0.00	07/05/2013	
SC	20082009	37	0030	001	ELWOOD HIGH SCHOOL	40809	18.71	6	0.4286	12.57	0.00	0.00	0.00	0.00	12.57								11/26/2012	
SC	20092010	37	0030	001	ELWOOD HIGH SCHOOL	43120	21.64	6	0.4286	12.57	0.00	0.00	0.00	0.00	12.57								11/26/2012	
SC	20102011	37	0030	001	ELWOOD HIGH SCHOOL	42490	19.40	7	0.4667	13.45						0.00	0.00	0.00	0.00	0.00	13.45	0.00	11/26/2012	
SC	20112012	37	0030	001	ELWOOD HIGH SCHOOL	43755	19.29	6	0.4286	12.55						0.00	0.00	0.00	0.00	0.00	12.55	0.00	11/26/2012	
SC	20122013	37	0030	001	ELWOOD HIGH SCHOOL	45857	20.29	6	0.4286	12.67						0.00	0.00	0.00	0.00	0.00	12.67	0.00	07/05/2013	
SC	20082009	37	0030	002	ELWOOD ELEMENTARY SCHOOL	42300	22.17	2	0.1667	8.93	0.00	0.00	0.00	0.00	8.93								11/26/2012	
SC	20092010	37	0030	002	ELWOOD ELEMENTARY SCHOOL	44611	23.17	2	0.1667	8.93	0.00	0.00	0.00	0.00	8.93								11/26/2012	
SC	20102011	37	0030	002	ELWOOD ELEMENTARY SCHOOL	43415	20.75	2	0.1667	9.43						0.00	0.00	0.00	0.00	0.00	9.43	0.00	11/26/2012	
SC	20112012	37	0030	002	ELWOOD ELEMENTARY SCHOOL	43441	21.77	1	0.0769	10.33						0.00	0.00	0.00	0.00	0.00	10.33	0.00	11/26/2012	
SC	20122013	37	0030	002	ELWOOD ELEMENTARY SCHOOL	43200	19.77	1	0.0769	10.33						0.00	0.00	0.00	0.00	0.00	10.33	0.00	07/05/2013	
DI	20082009	38	0011	000	HYANNIS AREA SCHOOLS	37732	18.25	3	0.1500	18.38	0.00	1.00	0.00	0.00	17.38								11/26/2012	
DI	20092010	38	0011	000	HYANNIS AREA SCHOOLS	41558	20.05	3	0.1579	17.88	0.00	1.00	0.00	0.00	16.88								11/26/2012	
DI	20102011	38	0011	000	HYANNIS AREA SCHOOLS	42000	18.53	3	0.1579	16.50						0.00	0.00	0.00	0.00	0.00	16.50	0.00	11/26/2012	
DI	20112012	38	0011	000	HYANNIS AREA SCHOOLS	41884	17.47	4	0.2105	16.37						0.00	0.00	0.00	0.00	0.00	16.37	0.00	11/26/2012	
DI	20122013	38	0011	000	HYANNIS AREA SCHOOLS	43697	18.11	4	0.2105	16.49						0.00	0.00	0.00	0.00	0.00	16.49	0.00	07/05/2013	
SC	20082009	38	0011	001	HYANNIS HIGH SCHOOL	38339	20.50	3	0.2500	9.26	0.00	0.50	0.00	0.00	8.76								11/26/2012	
SC	20092010	38	0011	001	HYANNIS HIGH SCHOOL	41642	20.69	3	0.2308	9.63	0.00	0.50	0.00	0.00	9.13								11/26/2012	
SC	20102011	38	0011	001	HYANNIS HIGH SCHOOL	43680	20.08	3	0.2500	8.38						0.00	0.00	0.00	0.00	0.00	8.38	0.00	11/26/2012	
SC	20112012	38	0011	001	HYANNIS HIGH SCHOOL	44333	20.00	4	0.3333	8.25						0.00	0.00	0.00	0.00	0.00	8.25	0.00	11/26/2012	
SC	20122013	38	0011	001	HYANNIS HIGH SCHOOL	45808	20.42	4	0.3333	8.37						0.00	0.00	0.00	0.00	0.00	8.37	0.00	07/05/2013	
SC	20082009	38	0011	003	HYANNIS ELEMENTARY SCHOOL	37556	16.33	1	0.1111	5.57	0.00	0.40	0.00	0.00	5.17								11/26/2012	
SC	20092010	38	0011	003	HYANNIS ELEMENTARY SCHOOL	40900	17.18	1	0.0909	8.25	0.00	0.50	0.00	0.00	7.75								11/26/2012	
SC	20102011	38	0011	003	HYANNIS ELEMENTARY SCHOOL	40880	16.90	1	0.1000	8.12						0.00	0.00	0.00	0.00	0.00	8.12	0.00	11/26/2012	
SC	20112012	38	0011	003	HYANNIS ELEMENTARY SCHOOL	40356	15.30	1	0.1000	8.12						0.00	0.00	0.00	0.00	0.00	8.12	0.00	11/26/2012	
SC	20122013	38	0011	003	HYANNIS ELEMENTARY SCHOOL	42588	16.30	1	0.1000	8.12						0.00	0.00	0.00	0.00	0.00	8.12	0.00	07/05/2013	
SC	20082009	38	0011	006	ASHBY ELEMENTARY SCHOOL	35880	11.50	1	0.1667	3.55	0.00	0.10	0.00	0.00	3.45								11/26/2012	
DI	20082009	39	0010	000	GREELEY-WOLBACH PUBLIC SCHOOLS	36016	17.35	2	0.0769	24.25	0.00	0.00	0.00	0.00	24.25								11/26/2012	
DI	20092010	39	0010	000	GREELEY-WOLBACH PUBLIC SCHOOLS	36506	13.52	1	0.0400	22.99	0.00	0.00	0.00	0.00	22.99								11/26/2012	
